TANGGAL;AGE;MATI;AFKIR;JML_DEPLESI;CUM_DEPLESI_%;STD_CUM_DEPLESI_%;PAKAN_STD_ZAK;PAKAN_STD_GR/EK;PAKAN_STD_CUM_GR/EK;PAKAN_ACT_ZAK;PAKAN_ACT_CUM_ZAK;PAKAN_ACT_GR/EK;PAKAN_CUM_GR/EK;DELTA_PAKAN_ZAK;DELTA_PAKAN_GR/EKOR;DELTA_PAKAN_CUM_GR/EKOK;ABW_STD;DG_STD;ABW_ACT;DG_ACT;DELTA_ABW;DELTA_DG;FCR_STD;FCR_ACT;DELTA_FCR;IP_STD;IP_ACT;SUHU_MIN;SUHU_MAX;KELEMBABAN;JUMLAH_AYAM_AKHIR;JUMLAH_AYAM_AWAL;PERIODE
18/02/24;21;8;0;241;1.205;2.7;47.0;120;1382;48;534;121.5;1347.0;1.0;1;-35;1069;82;1039.0;91;-30;9;1.294;1.296;0.002;387;377;26;28;55;19759;20000;6
19/02/24;22;10;0;251;1.255;2.83;50.0;126;1517;50;584;126.6;1473.0;0.0;1;-44;1153;84;1122.0;83;-31;-1;1.137;1.313;0.176;391;384;24;26;50;19749;20000;6
20/02/24;23;5;0;256;1.28;2.96;52.0;132;1656;54;638;136.8;1610.0;2.0;5;-46;1239;86;1208.0;86;-31;0;1.337;1.333;-0.004;394;389;24;26;50;19744;20000;6
21/02/24;24;12;0;268;1.34;3.09;54.0;138;1803;54;692;136.8;1747.0;0.0;-1;-56;1327;88;1310.0;102;-17;14;1.36;1.334;-0.026;397;404;24;26;50;19732;20000;6
22/02/24;25;8;0;276;1.38;3.22;57.0;144;1958;57;749;144.5;1891.0;0.0;0;-67;1418;90;1428.0;118;10;28;1.382;1.324;-0.058;400;425;24;26;50;19724;20000;6
23/02/24;26;10;0;286;1.43;3.35;59.0;150;2120;60;809;152.2;2043.0;1.0;2;-77;1510;92;1493.0;65;-17;-27;1.405;1.368;-0.037;402;414;24;26;50;19714;20000;6
24/02/24;27;15;0;301;1.505;3.4;61.0;156;2285;62;871;157.4;2201.0;1.0;1;-84;1604;94;1580.0;87;-24;-7;1.426;1.393;-0.033;404;414;24;26;50;19699;20000;6
25/02/24;28;15;0;316;1.58;3.61;64.0;162;2455;63;934;160.0;2361.0;-1.0;-2;-94;1698;95;1667.0;87;-31;-8;1.446;1.416;-0.03;405;414;24;26;50;19684;20000;6
26/02/24;29;15;0;331;1.655;3.74;66.0;168;2635;58;992;147.4;2508.0;-8.0;-21;-127;1794;96;1831.0;164;37;68;1,470;1.37;-1468.63;406;453;24;26;50;19669;20000;6
10/05/24;1;19;0;19;0.1;0.1;7.0;18;18;7;7;18.0;18.0;0.0;0;0;56;14;64.0;22;8;8;0.321;0.28;-0.041;0;0;30;32;65;19481;19500;7
11/05/24;2;3;0;22;0.11;0.23;9.0;22;40;8;15;20.5;38.5;-1.0;-1;-1;73;17;81.0;17;8;0;0.549;0.475;-0.074;0;0;30;32;65;19478;19500;7
12/05/24;3;15;0;37;0.19;0.36;10.0;26;66;10;25;25.7;64.2;0.0;0;-2;94;20;107.0;26;13;6;0.711;0.6;-0.111;0;0;30;32;65;19463;19500;7
13/05/24;4;10;0;47;0.24;0.49;12.0;30;96;11;36;28.3;92.4;-1.0;-2;-4;117;24;131.0;24;14;0;0.826;0.706;-0.12;0;0;30;32;65;19453;19500;7
14/05/24;5;2;0;49;0.25;0.62;13.0;34;131;13;49;33.4;125.9;0.0;-1;-5;144;27;161.0;30;17;3;0.914;0.782;-0.132;0;0;30;32;65;19451;19500;7
15/05/24;6;15;0;64;0.33;0.75;15.0;38;170;15;64;38.6;164.5;0.0;1;-6;174;30;185.0;24;11;-6;0.979;0.889;-0.09;0;0;30;32;65;19436;19500;7
16/05/24;7;10;0;74;0.38;0.68;17.0;43;210;17;81;43.8;208.2;0.0;1;-2;205;33;222.0;37;17;4;1.029;0.938;-0.091;270;337;30;32;65;19426;19500;7
17/05/24;8;3;0;77;0.39;1.01;17.0;45;260;18;99;46.3;254.5;1.0;1;-5;244;37;256.0;34;12;-3;1.068;0.994;-0.074;268;321;28;30;60;19423;19500;7
18/05/24;9;3;0;80;0.41;1.14;21.0;53;312;20;119;51.5;306.0;-1.0;-2;-6;285;41;298.0;42;13;1;1.099;1.027;-0.072;274;321;28;30;60;19420;19500;7
19/05/24;10;2;0;82;0.42;1.27;22.0;56;372;22;141;56.6;362.7;0.0;1;-9;330;45;345.0;47;15;2;1.129;1.051;-0.078;281;327;28;30;60;19418;19500;7
20/05/24;11;2;0;84;0.43;1.4;24.0;63;435;24;165;61.8;424.5;0.0;-1;-10;380;49;394.0;49;14;0;1.149;1.077;-0.072;289;331;28;30;60;19416;19500;7
21/05/24;12;4;0;88;0.45;1.53;26.0;68;506;26;191;67.0;491.5;0.0;-1;-15;434;54;448.0;54;14;0;1.169;1.097;-0.072;297;339;28;30;60;19412;19500;7
22/05/24;13;6;0;94;0.48;1.68;28.0;73;584;28;219;72.1;563.6;0.0;-1;-20;492;56;506.0;58;14;2;1.186;1.114;-0.072;305;348;28;30;60;19406;19500;7
23/05/24;14;13;0;107;0.55;1.79;30.0;78;668;30;249;77.3;641.0;0.0;-1;-27;553;61;559.0;53;6;-8;1.208;1.147;-0.061;313;346;28;30;60;19393;19500;7
24/05/24;15;6;0;113;0.58;1.92;33.0;84;752;32;281;82.5;723.5;-1.0;-1;-29;618;65;626.0;67;8;2;1.219;1.156;-0.063;320;359;26;28;55;19387;19500;7
25/05/24;16;11;0;124;0.64;2.06;35.0;90;841;34;315;87.7;811.2;-1.0;-2;-30;685;68;702.0;76;17;8;1.229;1.156;-0.073;327;377;26;28;55;19376;19500;7
26/05/24;17;10;0;134;0.69;2.18;37.0;96;936;37;352;95.5;906.7;0.0;0;-29;756;71;773.0;71;17;0;1.239;1.173;-0.066;334;385;26;28;55;19366;19500;7
27/05/24;18;12;0;146;0.75;2.31;39.0;102;1036;40;392;103.3;1010.1;1.0;1;-26;830;74;847.0;74;17;0;1.249;1.193;-0.056;343;391;26;28;55;19354;19500;7
28/05/24;19;19;0;165;0.85;2.44;41.0;106;1142;41;433;106.0;1116.1;0.0;0;-26;908;77;926.0;79;18;2;1.259;1.205;-0.054;378;401;26;28;55;19335;19500;7
29/05/24;20;11;0;176;0.9;2.57;44.0;114;1256;45;478;116.4;1232.5;1.0;2;-23;967;80;1011.0;85;44;5;1.272;1.219;-0.053;383;411;26;28;55;19324;19500;7
30/05/24;21;10;0;186;0.95;2.7;46.0;120;1382;46;524;119.1;1351.6;0.0;-1;-30;1069;82;1082.0;71;13;-11;1.294;1.249;-0.045;387;409;26;28;55;19314;19500;7
31/05/24;22;16;0;202;1.04;2.83;49.0;126;1517;49;573;127.0;1478.6;0.0;1;-38;1153;84;1158.0;76;5;-8;1.137;1.277;0.14;391;408;24;26;50;19298;19500;7
01/06/24;23;10;0;212;1.09;2.96;51.0;132;1656;51;624;132.2;1610.8;0.0;0;-45;1239;86;1255.0;97;16;11;1.337;1.284;-0.053;394;420;24;26;50;19288;19500;7
02/06/24;24;7;0;219;1.12;3.09;53.0;138;1803;54;678;140.0;1750.8;1.0;2;-52;1327;88;1344.0;89;17;1;1.36;1.303;-0.057;397;425;24;26;50;19281;19500;7
03/06/24;25;7;0;226;1.16;3.22;56.0;144;1958;55;733;142.7;1893.5;-1.0;-1;-64;1418;90;1428.0;84;10;-6;1.382;1.326;-0.056;400;426;24;26;50;19274;19500;7
04/06/24;26;7;0;233;1.19;3.35;58.0;150;2120;59;792;153.1;2046.6;1.0;3;-73;1510;92;1513.0;85;3;-7;1.405;1.353;-0.052;402;425;24;26;50;19267;19500;7
05/06/24;27;4;0;237;1.22;3.4;60.0;156;2285;60;852;155.7;2202.4;0.0;0;-83;1604;94;1607.0;94;3;0;1.426;1.37;-0.056;404;429;24;26;50;19263;19500;7
06/06/24;28;5;0;242;1.24;3.61;62.0;162;2455;55;907;142.8;2345.2;-7.0;-19;-110;1698;95;1703.0;96;5;1;1.446;1.377;-0.069;405;436;24;26;50;19258;19500;7
07/06/24;29;0;0;242;1.24;3.74;65.0;168;2635;57;964;148.0;2493.1;-8.0;-20;-142;1794;96;1798.0;95;4;-1;1.47;1.387;-0.083;406;441;24;26;50;19258;19500;7
08/06/24;30;13;0;255;1.31;3.87;67.0;173;2818;53;1017;137.7;2630.8;-14.0;-35;-187;1891;97;1877.0;79;-14;-18;1.491;1.402;-0.089;407;440;24;26;50;19245;19500;7
09/06/24;31;7;0;262;1.34;4.0;68.0;178;3004;55;1072;142.9;2773.8;-13.0;-35;-230;1989;98;1977.0;100;-12;2;1.511;1.403;-0.108;408;448;24;26;50;19238;19500;7
10/06/24;32;3;0;265;1.36;4.13;70.0;183;3201;57;1129;148.2;2922.0;-13.0;-35;-279;2087;99;2180.0;203;93;104;1.534;1.34;-0.194;408;501;24;26;50;19235;19500;7
11/06/24;33;9;0;274;1.41;4.26;72.0;188;3403;62;1191;161.2;3083.2;-10.0;-27;-320;2187;100;2279.0;99;92;-1;1.556;1.353;-0.203;408;503;24;26;50;19226;19500;7
10/05/24;1;8;0;8;0.04;0.1;8.0;18;18;8;8;19.0;19.0;0.0;1;1;56;14;60.0;22;4;8;0.321;0.317;-0.004;0;0;30;32;65;20992;21000;8
11/05/24;2;2;0;10;0.05;0.23;9.0;22;40;10;18;23.8;42.8;1.0;2;3;73;17;78.0;18;5;1;0.549;0.549;0.0;0;0;30;32;65;20990;21000;8
12/05/24;3;11;0;21;0.1;0.36;11.0;26;66;11;29;26.2;69.0;0.0;0;3;94;20;97.0;19;3;-1;0.711;0.712;0.001;0;0;30;32;65;20979;21000;8
13/05/24;4;4;0;25;0.12;0.49;13.0;30;96;13;42;31.0;100.0;0.0;1;4;117;24;121.0;24;4;0;0.826;0.827;0.001;0;0;30;32;65;20975;21000;8
14/05/24;5;7;0;32;0.15;0.62;14.0;34;131;14;56;33.4;133.4;0.0;-1;2;144;27;148.0;27;4;0;0.914;0.901;-0.013;0;0;30;32;65;20968;21000;8
15/05/24;6;10;0;42;0.2;0.75;16.0;38;170;16;72;38.2;171.6;0.0;0;2;174;30;178.0;30;4;0;0.979;0.964;-0.015;0;0;30;32;65;20958;21000;8
16/05/24;7;3;0;45;0.21;0.68;18.0;43;210;18;90;42.9;214.5;0.0;0;5;205;33;212.0;34;7;1;1.029;1.012;-0.017;270;299;30;32;65;20955;21000;8
17/05/24;8;4;0;49;0.23;1.01;19.0;45;260;20;110;47.7;262.3;1.0;3;2;244;37;250.0;38;6;1;1.068;1.049;-0.019;268;297;28;30;60;20951;21000;8
18/05/24;9;4;0;53;0.25;1.14;22.0;53;312;22;132;52.5;314.8;0.0;0;3;285;41;293.0;43;8;2;1.099;1.074;-0.025;274;302;28;30;60;20947;21000;8
19/05/24;10;4;0;57;0.27;1.27;23.0;56;372;24;156;57.3;372.1;1.0;1;0;330;45;335.0;42;5;-3;1.129;1.111;-0.018;281;301;28;30;60;20943;21000;8
20/05/24;11;1;0;58;0.28;1.4;26.0;63;435;26;182;62.1;434.2;0.0;-1;-1;380;49;384.0;49;4;0;1.149;1.131;-0.018;289;308;28;30;60;20942;21000;8
21/05/24;12;7;0;65;0.31;1.53;28.0;68;506;28;210;66.9;501.0;0.0;-1;-5;434;54;424.0;40;-10;-14;1.169;1.182;0.013;297;298;28;30;60;20935;21000;8
22/05/24;13;3;0;68;0.32;1.68;31.0;73;584;30;240;71.7;572.7;-1.0;-1;-11;492;56;482.0;58;-10;2;1.186;1.188;0.002;305;311;28;30;60;20932;21000;8
23/05/24;14;8;0;76;0.36;1.79;33.0;78;668;32;272;76.5;649.2;-1.0;-2;-19;553;61;552.0;70;-1;9;1.208;1.176;-0.032;313;334;28;30;60;20924;21000;8
24/05/24;15;4;0;80;0.38;1.92;35.0;84;752;34;306;81.3;730.4;-1.0;-3;-22;618;65;622.0;70;4;5;1.219;1.174;-0.045;320;352;26;28;55;20920;21000;8
25/05/24;16;6;0;86;0.41;2.06;38.0;90;841;36;342;86.1;816.5;-2.0;-4;-24;685;68;695.0;73;10;5;1.229;1.175;-0.054;327;368;26;28;55;20914;21000;8
26/05/24;17;5;0;91;0.43;2.18;40.0;96;936;40;382;95.7;912.1;0.0;0;-24;756;71;764.0;69;8;-2;1.239;1.194;-0.045;334;375;26;28;55;20909;21000;8
27/05/24;18;8;0;99;0.47;2.31;43.0;102;1036;42;424;100.5;1012.6;-1.0;-2;-23;830;74;836.0;72;6;-2;1.249;1.211;-0.038;343;382;26;28;55;20901;21000;8
28/05/24;19;4;0;103;0.49;2.44;44.0;106;1142;44;468;105.3;1117.9;0.0;-1;-24;908;77;913.0;77;5;0;1.259;1.224;-0.035;378;391;26;28;55;20897;21000;8
29/05/24;20;7;0;110;0.52;2.57;48.0;114;1256;46;514;110.1;1228.0;-2.0;-4;-28;967;80;992.0;79;25;-1;1.272;1.238;-0.034;383;399;26;28;55;20890;21000;8
30/05/24;21;4;0;114;0.54;2.7;50.0;120;1382;50;564;119.7;1347.7;0.0;0;-34;1069;82;1064.0;72;-5;-10;1.294;1.267;-0.027;387;398;26;28;55;20886;21000;8
31/05/24;22;6;0;120;0.57;2.83;53.0;126;1517;52;616;124.5;1472.2;-1.0;-1;-45;1153;84;1142.0;78;-11;-6;1.137;1.289;0.152;391;400;24;26;50;20880;21000;8
01/06/24;23;7;0;127;0.6;2.96;55.0;132;1656;54;670;129.4;1601.6;-1.0;-3;-54;1239;86;1245.0;103;6;17;1.337;1.286;-0.051;394;418;24;26;50;20873;21000;8
02/06/24;24;10;0;137;0.65;3.09;58.0;138;1803;57;727;136.6;1738.2;-1.0;-1;-65;1327;88;1338.0;93;11;5;1.36;1.299;-0.061;397;426;24;26;50;20863;21000;8
03/06/24;25;7;0;144;0.69;3.22;60.0;144;1958;60;787;143.8;1882.0;0.0;0;-76;1418;90;1431.0;93;13;3;1.382;1.315;-0.067;400;432;24;26;50;20856;21000;8
04/06/24;26;6;0;150;0.71;3.35;63.0;150;2120;62;849;148.7;2030.7;-1.0;-1;-89;1510;92;1511.0;80;1;-12;1.405;1.344;-0.061;402;429;24;26;50;20850;21000;8
05/06/24;27;6;0;156;0.74;3.4;65.0;156;2285;64;913;153.5;2184.2;-1.0;-2;-101;1604;94;1613.0;102;9;8;1.426;1.354;-0.072;404;438;24;26;50;20844;21000;8
06/06/24;28;9;0;165;0.79;3.61;68.0;162;2455;67;980;160.8;2345.0;-1.0;-1;-110;1698;95;1711.0;98;13;3;1.446;1.371;-0.075;405;442;24;26;50;20835;21000;8
07/06/24;29;9;0;174;0.83;3.74;70.0;168;2635;70;1050;168.1;2513.1;0.0;0;-122;1794;96;1799.0;88;5;-8;1.47;1.397;-0.073;406;440;24;26;50;20826;21000;8
08/06/24;30;7;0;181;0.86;3.87;72.0;173;2818;72;1122;172.9;2686.0;0.0;0;-132;1891;97;1890.0;91;-1;-6;1.491;1.421;-0.07;407;439;24;26;50;20819;21000;8
09/06/24;31;9;0;190;0.9;4.0;74.0;178;3004;74;1196;177.8;2863.8;0.0;0;-140;1989;98;1996.0;106;7;8;1.511;1.435;-0.076;408;445;24;26;50;20810;21000;8
10/06/24;32;9;0;199;0.95;4.13;76.0;183;3201;73;1269;175.5;3039.2;-3.0;-8;-162;2087;99;2105.0;109;18;10;1.534;1.444;-0.09;408;451;24;26;50;20801;21000;8
11/06/24;33;11;0;210;1.0;4.26;78.0;188;3403;74;1343;178.0;3217.2;-4.0;-10;-186;2187;100;2202.0;97;15;-3;1.556;1.461;-0.095;408;452;24;26;50;20790;21000;8
02/09/24;1;20;0;20;0.1;0.1;8.0;18;18;8;8;19.0;19.0;0.0;1;1;56;14;60.0;22;4;8;0.321;0.317;-0.004;0;0;30;32;65;20980;21000;9
03/09/24;2;28;0;48;0.23;0.23;9.0;22;40;10;18;23.9;42.9;1.0;2;3;73;17;80.0;20;7;3;0.549;0.536;-0.013;0;0;30;32;65;20952;21000;9
04/09/24;3;13;0;61;0.29;0.36;11.0;26;66;11;29;26.3;69.2;0.0;0;3;94;20;99.0;19;5;-1;0.711;0.699;-0.012;0;0;30;32;65;20939;21000;9
05/09/24;4;12;0;73;0.35;0.49;13.0;30;96;12;41;28.7;97.8;-1.0;-1;2;117;24;121.0;22;4;-2;0.826;0.809;-0.017;0;0;30;32;65;20927;21000;9
06/09/24;5;8;0;81;0.39;0.62;14.0;34;131;14;55;33.5;131.3;0.0;-1;0;144;27;150.0;29;6;2;0.914;0.875;-0.039;0;0;30;32;65;20919;21000;9
07/09/24;6;8;0;89;0.42;0.75;16.0;38;170;16;71;38.3;169.6;0.0;0;0;174;30;181.0;31;7;1;0.979;0.937;-0.042;0;0;30;32;65;20911;21000;9
08/09/24;7;17;0;106;0.5;0.68;18.0;43;210;18;89;43.1;212.6;0.0;0;3;205;33;216.0;35;11;2;1.029;0.984;-0.045;270;312;30;32;65;20894;21000;9
09/09/24;8;4;0;110;0.52;1.01;19.0;45;260;20;109;47.9;260.5;1.0;3;1;244;37;253.0;37;9;0;1.068;1.03;-0.038;268;305;28;30;60;20890;21000;9
10/09/24;9;4;0;114;0.54;1.14;22.0;53;312;21;130;50.3;310.8;-1.0;-3;-1;285;41;293.0;40;8;-1;1.099;1.061;-0.038;274;305;28;30;60;20886;21000;9
11/09/24;10;1;0;115;0.55;1.27;23.0;56;372;24;154;57.5;368.2;1.0;1;-4;330;45;337.0;44;7;-1;1.129;1.093;-0.036;281;307;28;30;60;20885;21000;9
12/09/24;11;3;0;118;0.56;1.4;26.0;63;435;26;180;62.3;430.5;0.0;-1;-4;380;49;385.0;48;5;-1;1.149;1.118;-0.031;289;311;28;30;60;20882;21000;9
13/09/24;12;3;0;121;0.58;1.53;28.0;68;506;29;209;69.4;499.9;1.0;1;-6;434;54;437.0;52;3;-2;1.169;1.144;-0.025;297;316;28;30;60;20879;21000;9
14/09/24;13;4;0;125;0.6;1.68;30.0;73;584;31;240;74.3;574.2;1.0;1;-10;492;56;489.0;52;-3;-4;1.186;1.174;-0.012;305;318;28;30;60;20875;21000;9
15/09/24;14;5;0;130;0.62;1.79;33.0;78;668;32;272;76.7;650.9;-1.0;-1;-17;553;61;550.0;61;-3;0;1.208;1.183;-0.025;313;330;28;30;60;20870;21000;9
16/09/24;15;6;0;136;0.65;1.92;35.0;84;752;35;307;83.9;734.7;0.0;0;-17;618;65;620.0;70;2;5;1.219;1.185;-0.034;320;347;26;28;55;20864;21000;9
17/09/24;16;6;0;142;0.68;2.06;38.0;90;841;38;345;91.1;825.8;0.0;1;-15;685;68;687.0;67;2;-1;1.229;1.202;-0.027;327;355;26;28;55;20858;21000;9
18/09/24;17;5;0;147;0.7;2.18;40.0;96;936;40;385;95.9;921.7;0.0;0;-14;756;71;760.0;73;4;2;1.239;1.213;-0.026;334;366;26;28;55;20853;21000;9
19/09/24;18;5;0;152;0.72;2.31;43.0;102;1036;43;428;103.1;1024.9;0.0;1;-11;830;74;834.0;74;4;0;1.249;1.229;-0.02;343;374;26;28;55;20848;21000;9
20/09/24;19;5;0;157;0.75;2.44;44.0;106;1142;45;473;107.9;1132.8;1.0;2;-9;908;77;913.0;79;5;2;1.259;1.241;-0.018;378;384;26;28;55;20843;21000;9
21/09/24;20;5;0;162;0.77;2.57;48.0;114;1256;48;521;115.2;1248.0;0.0;1;-8;967;80;998.0;85;31;5;1.272;1.25;-0.022;383;396;26;28;55;20838;21000;9
22/09/24;21;5;0;167;0.8;2.7;50.0;120;1382;50;571;120.0;1368.0;0.0;0;-14;1069;82;1081.0;83;12;1;1.294;1.265;-0.029;387;404;26;28;55;20833;21000;9
23/09/24;22;7;0;174;0.83;2.83;52.0;126;1517;52;623;124.8;1492.8;0.0;-1;-24;1153;84;1165.0;84;12;0;1.137;1.281;0.144;391;410;24;26;50;20826;21000;9
24/09/24;23;5;0;179;0.85;2.96;55.0;132;1656;55;678;132.1;1624.9;0.0;0;-31;1239;86;1254.0;89;15;3;1.337;1.296;-0.041;394;417;24;26;50;20821;21000;9
25/09/24;24;4;0;183;0.87;3.09;57.0;138;1803;55;733;132.1;1757.0;-2.0;-6;-46;1327;88;1343.0;89;16;1;1.36;1.308;-0.052;397;424;24;26;50;20817;21000;9
26/09/24;25;6;0;189;0.9;3.22;60.0;144;1958;62;795;149.0;1906.0;2.0;5;-52;1418;90;1437.0;94;19;4;1.382;1.326;-0.056;400;429;24;26;50;20811;21000;9
27/09/24;26;7;0;196;0.93;3.35;62.0;150;2120;62;857;149.0;2055.0;0.0;-1;-65;1510;92;1537.0;100;27;8;1.405;1.337;-0.068;402;438;24;26;50;20804;21000;9
28/09/24;27;15;0;211;1.0;3.4;65.0;156;2285;65;922;156.3;2211.3;0.0;0;-74;1604;94;1634.0;97;30;3;1.426;1.353;-0.073;404;443;24;26;50;20789;21000;9
29/09/24;28;8;0;219;1.04;3.61;67.0;162;2455;62;984;149.2;2360.5;-5.0;-13;-94;1698;95;1733.0;99;35;4;1.446;1.362;-0.084;405;450;24;26;50;20781;21000;9
30/09/24;29;3;0;222;1.06;3.74;70.0;168;2635;61;1045;146.8;2507.3;-9.0;-21;-128;1794;96;1833.0;100;39;4;1.47;1.368;-0.102;406;457;24;26;50;20778;21000;9
01/10/24;30;8;0;230;1.1;3.87;72.0;173;2818;63;1108;151.7;2658.9;-9.0;-21;-159;1891;97;1931.0;98;40;1;1.491;1.377;-0.114;407;462;24;26;50;20770;21000;9
02/10/24;31;9;0;239;1.14;4.0;74.0;178;3004;65;1173;156.5;2815.5;-9.0;-21;-188;1989;98;2033.0;102;44;4;1.511;1.385;-0.126;408;468;24;26;50;20761;21000;9
03/10/24;32;10;0;249;1.19;4.13;76.0;183;3201;67;1231;161.4;2976.9;-18.0;-43;-246;2087;99;2133.0;100;46;1;1.534;1.396;-0.138;408;475;24;26;50;20751;21000;9
04/10/24;33;10;0;259;1.23;4.26;78.0;188;3403;69;1275;166.3;3143.3;-34.0;-82;-342;2187;100;2233.0;100;46;0;1.556;1.408;-0.148;408;487;24;26;50;20741;21000;9
05/10/24;34;10;0;269;1.28;4.39;80.0;192;3504;70;1309;168.8;3312.1;-46.0;-110;-361;2289;101;2333.0;100;44;-1;1.578;1.42;-0.158;407;503;24;26;50;20731;21000;9
06/10/24;35;0;0;269;1.28;4.52;83.0;199;3601;72;1309;173.7;3485.7;-83.0;-199;-458;2390;101;2333.0;100;0;-1;1.6;1.494;-0.106;407;488;24;26;50;20731;21000;9
27/10/24;1;12;0;12;0.06;0.1;7.0;18;18;7;7;17.4;17.4;0.0;-1;-1;56;14;63.0;22;7;8;0.321;0.276;-0.045;0;0;30;32;65;20088;20100;10
28/10/24;2;9;0;21;0.1;0.23;9.0;22;40;9;16;22.4;39.8;0.0;0;0;73;17;82.0;19;9;2;0.549;0.486;-0.063;0;0;30;32;65;20079;20100;10
29/10/24;3;6;0;27;0.13;0.36;10.0;26;66;10;26;24.9;64.7;0.0;-1;-1;94;20;105.0;23;11;3;0.711;0.617;-0.094;0;0;30;32;65;20073;20100;10
30/10/24;4;6;0;33;0.16;0.49;12.0;30;96;12;38;29.9;94.6;0.0;0;-1;117;24;130.0;25;13;1;0.826;0.728;-0.098;0;0;30;32;65;20067;20100;10
31/10/24;5;3;0;36;0.18;0.62;14.0;34;131;14;52;34.9;129.5;0.0;1;-1;144;27;159.0;29;15;2;0.914;0.815;-0.099;0;0;30;32;65;20064;20100;10
01/11/24;6;5;0;41;0.2;0.75;15.0;38;170;15;67;37.4;166.9;0.0;-1;-3;174;30;191.0;32;17;2;0.979;0.874;-0.105;0;0;30;32;65;20059;20100;10
02/11/24;7;2;0;43;0.21;0.68;17.0;43;210;17;84;42.4;209.3;0.0;-1;-1;205;33;226.0;35;21;2;1.029;0.926;-0.103;270;348;30;32;65;20057;20100;10
03/11/24;8;0;0;43;0.21;1.01;18.0;45;260;18;102;44.9;254.2;0.0;0;-6;244;37;265.0;39;21;2;1.068;0.959;-0.109;268;345;28;30;60;20057;20100;10
04/11/24;9;0;0;43;0.21;1.14;21.0;53;312;21;123;52.4;306.5;0.0;-1;-5;285;41;306.0;41;21;0;1.099;1.002;-0.097;274;339;28;30;60;20057;20100;10
05/11/24;10;3;0;46;0.23;1.27;22.0;56;372;22;145;54.9;361.4;0.0;-1;-11;330;45;351.0;45;21;0;1.129;1.03;-0.099;281;340;28;30;60;20054;20100;10
06/11/24;11;4;0;50;0.25;1.4;25.0;63;435;25;170;62.3;423.7;0.0;-1;-11;380;49;402.0;51;22;2;1.149;1.054;-0.095;289;346;28;30;60;20050;20100;10
07/11/24;12;5;0;55;0.27;1.53;27.0;68;506;27;197;67.3;491.1;0.0;-1;-15;434;54;451.0;49;17;-5;1.169;1.089;-0.08;297;344;28;30;60;20045;20100;10
08/11/24;13;6;0;61;0.3;1.68;29.0;73;584;29;226;72.4;563.4;0.0;-1;-21;492;56;495.0;44;3;-12;1.186;1.138;-0.048;305;334;28;30;60;20039;20100;10
09/11/24;14;7;0;68;0.34;1.79;31.0;78;668;31;257;77.4;640.8;0.0;-1;-27;553;61;557.0;62;4;1;1.208;1.15;-0.058;313;345;28;30;60;20032;20100;10
10/11/24;15;4;0;72;0.36;1.92;34.0;84;752;33;290;82.4;723.2;-1.0;-2;-29;618;65;623.0;66;5;1;1.219;1.161;-0.058;320;357;26;28;55;20028;20100;10
11/11/24;16;7;0;79;0.39;2.06;36.0;90;841;36;326;89.9;813.1;0.0;0;-28;685;68;700.0;77;15;9;1.229;1.162;-0.067;327;375;26;28;55;20021;20100;10
12/11/24;17;4;0;83;0.41;2.18;38.0;96;936;38;364;94.9;908.0;0.0;-1;-28;756;71;768.0;68;12;-3;1.239;1.182;-0.057;334;381;26;28;55;20017;20100;10
13/11/24;18;3;0;86;0.43;2.31;41.0;102;1036;40;404;99.9;1007.9;-1.0;-2;-28;830;74;842.0;74;12;0;1.249;1.197;-0.052;343;389;26;28;55;20014;20100;10
14/11/24;19;7;0;93;0.46;2.44;42.0;106;1142;42;446;105.0;1112.9;0.0;-1;-29;908;77;922.0;80;14;3;1.259;1.207;-0.052;378;400;26;28;55;20007;20100;10
15/11/24;20;5;0;98;0.49;2.57;46.0;114;1256;45;491;112.5;1225.4;-1.0;-2;-31;967;80;1001.0;79;34;-1;1.272;1.224;-0.048;383;407;26;28;55;20002;20100;10
16/11/24;21;7;0;105;0.52;2.7;48.0;120;1382;48;539;120.0;1345.4;0.0;0;-37;1069;82;1082.0;81;13;-1;1.294;1.243;-0.051;387;412;26;28;55;19995;20100;10
17/11/24;22;2;0;107;0.53;2.83;50.0;126;1517;50;589;125.0;1470.5;0.0;-1;-47;1153;84;1163.0;81;10;-3;1.137;1.264;0.127;391;416;24;26;50;19993;20100;10
18/11/24;23;1;0;108;0.54;2.96;53.0;132;1656;52;641;130.1;1600.5;-1.0;-2;-55;1239;86;1249.0;86;10;0;1.337;1.281;-0.056;394;421;24;26;50;19992;20100;10
19/11/24;24;2;0;110;0.55;3.09;55.0;138;1803;55;696;137.6;1738.1;0.0;0;-65;1327;88;1337.0;88;10;0;1.36;1.3;-0.06;397;426;24;26;50;19990;20100;10
20/11/24;25;3;0;113;0.56;3.22;58.0;144;1958;53;749;132.6;1870.7;-5.0;-11;-87;1418;90;1427.0;90;9;0;1.382;1.311;-0.071;400;433;24;26;50;19987;20100;10
21/11/24;26;5;0;118;0.59;3.35;60.0;150;2120;55;804;137.6;2008.3;-5.0;-12;-112;1510;92;1519.0;92;9;0;1.405;1.322;-0.083;402;439;24;26;50;19982;20100;10
22/11/24;27;5;0;123;0.61;3.4;62.0;156;2285;57;861;142.7;2151.0;-5.0;-13;-134;1604;94;1614.0;95;10;1;1.426;1.333;-0.093;404;446;24;26;50;19977;20100;10
