AGE;MATI;JML_DEPLESI;STD_CUM_DEPLESI_%;DELTA_PAKAN_ZAK;DELTA_PAKAN_CUM_GR/EKOK;DG_ACT;DELTA_ABW;DELTA_DG;FCR_STD;FCR_ACT;DELTA_FCR;IP_STD;JUMLAH_AYAM_AKHIR;PERIODE;FCR_ACT_lag_14;DG_ACT_lag_1;DG_ACT_lag_2;DG_ACT_lag_3;MATI_lag_1;MATI_lag_2;MATI_lag_3;MATI_lag_7;MATI_lag_14;JML_DEPLESI_lag_14;DELTA_PAKAN_GR/EKOR_lag_1;DELTA_PAKAN_GR/EKOR_lag_2;DELTA_PAKAN_GR/EKOR_lag_3;DELTA_PAKAN_GR/EKOR_lag_7;DELTA_PAKAN_GR/EKOR_lag_14;DELTA_DG_lag_1;DELTA_DG_lag_2;DELTA_DG_lag_3;DELTA_DG_lag_7;DELTA_DG_lag_14;PAKAN_ACT_GR/EK_rolling_std_3;PAKAN_ACT_GR/EK_rolling_std_7;PAKAN_ACT_GR/EK_rolling_std_14;DG_ACT_rolling_std_3;DG_ACT_rolling_std_7;DG_ACT_rolling_std_14;DG_ACT_rolling_min_14;SUHU_MAX_rolling_std_3;SUHU_MAX_rolling_std_7;SUHU_MAX_rolling_std_14;MATI_rolling_mean_3;MATI_rolling_std_3;MATI_rolling_min_3;MATI_rolling_max_3;MATI_rolling_mean_7;MATI_rolling_std_7;MATI_rolling_min_7;MATI_rolling_max_7;MATI_rolling_mean_14;MATI_rolling_std_14;MATI_rolling_min_14;MATI_rolling_max_14;JML_DEPLESI_rolling_std_3;JML_DEPLESI_rolling_std_7;JML_DEPLESI_rolling_std_14;DELTA_PAKAN_GR/EKOR_rolling_std_3;DELTA_PAKAN_GR/EKOR_rolling_max_3;DELTA_PAKAN_GR/EKOR_rolling_mean_7;DELTA_PAKAN_GR/EKOR_rolling_std_7;DELTA_PAKAN_GR/EKOR_rolling_max_7;DELTA_PAKAN_GR/EKOR_rolling_mean_14;DELTA_PAKAN_GR/EKOR_rolling_std_14;DELTA_PAKAN_GR/EKOR_rolling_max_14;DELTA_DG_rolling_mean_3;DELTA_DG_rolling_min_3;DELTA_DG_rolling_max_3;DELTA_DG_rolling_mean_7;DELTA_DG_rolling_std_7;DELTA_DG_rolling_min_7;DELTA_DG_rolling_max_7;DELTA_DG_rolling_mean_14;DELTA_DG_rolling_min_14;PAKAN_DG_RATIO;PAKAN_ACT_GR/EK_momentum_1;PAKAN_ACT_GR/EK_acceleration;PAKAN_ACT_GR/EK_volatility_3;PAKAN_ACT_GR/EK_trend_slope_3;DG_ACT_momentum_1;DG_ACT_acceleration;DG_ACT_volatility_3;DG_ACT_trend_slope_3;SUHU_MAX_momentum_1;SUHU_MAX_acceleration;SUHU_MAX_volatility_3;MATI_momentum_1;MATI_acceleration;MATI_volatility_3;MATI_trend_slope_3;JML_DEPLESI_acceleration;JML_DEPLESI_volatility_3;DELTA_PAKAN_GR/EKOR_momentum_1;DELTA_PAKAN_GR/EKOR_acceleration;DELTA_PAKAN_GR/EKOR_volatility_3;DELTA_PAKAN_GR/EKOR_trend_slope_3;FEED_EFFICIENCY_lag_1
22;7;174;2.83;0.0;-24;84;12;0;1.137;1.281;0.144;391;20826;9;1.03;83.0;85.0;79.0;5.0;5.0;5.0;6.0;4.0;110.0;0.0;1.0;2.0;0.0;3.0;1.0;5.0;2.0;5.0;0.0;4.8;12.474;24.026;1.0;6.744;15.6;40.0;1.155;0.756;1.267;5.667;1.155;5.0;7.0;5.429;0.787;5.0;7.0;4.571;1.505;1.0;7.0;6.028;11.28;20.271;1.0;1.0;0.571;0.976;2.0;0.143;1.292;2.0;2.0;0.0;5.0;1.286;1.976;-1.0;5.0;0.357;-4.0;1.486;4.8;0.0;1.443;4.8;1.0;3.0;4.041;-0.5;-2.0;-2.0;1.155;2.0;2.0;1.155;1.0;2.0;1.155;-1.0;0.0;0.0;-1.0;0.791
23;5;179;2.96;0.0;-31;89;15;3;1.337;1.296;-0.041;394;20821;9;1.061;84.0;83.0;85.0;7.0;5.0;5.0;6.0;4.0;114.0;-1.0;0.0;1.0;1.0;-3.0;0.0;1.0;5.0;-1.0;-1.0;6.093;12.683;24.091;3.215;5.916;15.011;44.0;1.155;0.976;1.399;5.667;1.155;5.0;7.0;5.286;0.756;5.0;7.0;4.643;1.499;1.0;7.0;6.028;11.588;21.277;0.577;0.0;0.429;0.976;2.0;0.357;0.929;2.0;1.333;0.0;3.0;1.857;1.773;0.0;5.0;0.643;-4.0;1.484;7.3;2.5;1.443;6.05;5.0;4.0;3.512;3.0;0.0;2.0;1.155;-2.0;-4.0;2.0;-0.0;-2.0;1.155;1.0;2.0;1.155;-0.0;0.781
24;4;183;3.09;-2.0;-46;89;16;1;1.36;1.308;-0.052;397;20817;9;1.093;89.0;84.0;83.0;5.0;7.0;5.0;5.0;1.0;115.0;0.0;-1.0;0.0;0.0;1.0;3.0;0.0;1.0;2.0;-1.0;4.215;11.311;23.674;2.887;5.376;14.12;48.0;0.0;1.069;1.46;5.333;1.528;4.0;7.0;5.143;0.9;4.0;7.0;4.857;1.099;3.0;7.0;4.509;11.514;21.746;3.215;0.0;-0.429;2.637;2.0;-0.143;1.916;2.0;1.333;0.0;3.0;1.714;1.799;0.0;5.0;0.786;-4.0;1.484;0.0;-7.3;3.71;3.65;0.0;-5.0;2.646;2.5;0.0;0.0;1.155;-1.0;1.0;2.082;-1.5;-1.0;1.528;-6.0;-7.0;3.606;-2.5;0.772
25;6;189;3.22;2.0;-52;94;19;4;1.382;1.326;-0.056;400;20811;9;1.118;89.0;89.0;84.0;4.0;5.0;7.0;5.0;3.0;118.0;-6.0;0.0;-1.0;1.0;-1.0;1.0;3.0;0.0;0.0;-1.0;9.757;13.447;24.601;2.887;4.914;13.479;52.0;0.0;1.069;1.46;5.0;1.0;4.0;6.0;5.286;0.951;4.0;7.0;5.071;0.997;3.0;7.0;5.033;11.59;22.111;5.508;5.0;0.143;3.338;5.0;0.286;2.335;5.0;2.667;1.0;4.0;2.286;1.799;0.0;5.0;1.143;-4.0;1.585;16.9;16.9;8.476;8.45;5.0;5.0;2.887;2.5;0.0;0.0;0.0;2.0;3.0;2.082;0.5;2.0;1.0;11.0;17.0;8.544;2.5;0.765
26;7;196;3.35;0.0;-65;100;27;8;1.405;1.337;-0.068;402;20804;9;1.144;94.0;89.0;89.0;6.0;4.0;5.0;5.0;3.0;121.0;5.0;-6.0;0.0;2.0;1.0;4.0;1.0;3.0;2.0;-2.0;9.757;13.264;24.84;5.508;6.094;13.242;52.0;0.0;0.976;1.399;5.667;1.528;4.0;7.0;5.571;1.134;4.0;7.0;5.357;0.929;4.0;7.0;6.506;11.984;22.434;5.508;5.0;-0.286;3.251;5.0;0.143;2.349;5.0;4.333;1.0;8.0;3.143;2.795;0.0;8.0;1.857;-4.0;1.49;0.0;-16.9;9.757;8.45;6.0;1.0;3.215;5.5;0.0;0.0;0.0;1.0;-1.0;1.528;1.5;1.0;1.528;-6.0;-17.0;9.815;2.5;0.754
27;15;211;3.4;0.0;-74;97;30;3;1.426;1.353;-0.073;404;20789;9;1.174;100.0;94.0;89.0;7.0;6.0;4.0;5.0;4.0;125.0;-1.0;5.0;-6.0;1.0;1.0;8.0;4.0;1.0;5.0;-4.0;4.215;13.806;25.166;3.0;6.414;11.663;61.0;0.0;0.756;1.267;9.333;4.933;6.0;15.0;7.0;3.697;4.0;15.0;6.143;2.685;4.0;15.0;11.24;14.695;23.863;3.215;5.0;-0.429;3.207;5.0;0.071;2.336;5.0;5.0;3.0;8.0;2.857;2.673;0.0;8.0;2.357;-1.0;1.611;7.3;7.3;8.476;3.65;-3.0;-9.0;4.933;1.5;0.0;0.0;0.0;8.0;7.0;3.786;4.5;8.0;4.933;1.0;7.0;8.544;-2.5;0.748
28;8;219;3.61;-5.0;-94;99;35;4;1.446;1.362;-0.084;405;20781;9;1.183;97.0;100.0;94.0;15.0;7.0;6.0;5.0;5.0;130.0;0.0;-1.0;5.0;0.0;-1.0;3.0;8.0;4.0;1.0;0.0;4.158;11.873;23.664;1.528;5.984;10.847;67.0;0.0;0.0;1.038;10.0;4.359;7.0;15.0;7.429;3.599;4.0;15.0;6.357;2.706;4.0;15.0;11.676;16.743;25.325;7.234;0.0;-2.286;5.707;5.0;-0.786;4.209;5.0;5.0;3.0;8.0;3.286;2.563;0.0;8.0;2.643;-1.0;1.507;-7.1;-14.4;7.2;0.1;2.0;5.0;4.509;-0.5;0.0;0.0;0.0;-7.0;-15.0;7.506;0.5;-7.0;4.359;-13.0;-14.0;7.0;-6.0;0.739
29;3;222;3.74;-9.0;-128;100;39;4;1.47;1.368;-0.102;406;20778;9;1.185;99.0;97.0;100.0;8.0;15.0;7.0;7.0;6.0;136.0;-13.0;0.0;-1.0;-1.0;0.0;4.0;3.0;8.0;0.0;5.0;4.94;9.25;21.744;1.528;4.86;10.725;67.0;0.0;0.0;1.027;8.667;6.028;3.0;15.0;6.857;3.976;3.0;15.0;6.143;2.852;3.0;15.0;5.686;17.478;26.223;10.599;0.0;-5.143;9.008;5.0;-2.286;6.832;5.0;3.667;3.0;4.0;3.857;2.116;1.0;8.0;2.571;-1.0;1.468;-2.4;4.7;7.343;-4.75;1.0;-1.0;2.646;1.5;0.0;0.0;0.0;-5.0;2.0;8.145;-6.0;-5.0;6.028;-8.0;5.0;7.095;-10.5;0.734
30;8;230;3.87;-9.0;-159;98;40;1;1.491;1.377;-0.114;407;20770;9;1.202;100.0;99.0;97.0;3.0;8.0;15.0;5.0;6.0;142.0;-21.0;-13.0;0.0;0.0;1.0;4.0;4.0;3.0;3.0;-1.0;2.45;7.525;20.102;1.0;3.988;9.486;73.0;0.0;0.0;0.994;6.333;2.887;3.0;8.0;7.286;3.904;3.0;15.0;6.286;2.894;3.0;15.0;5.686;17.958;27.307;4.619;-13.0;-8.143;10.399;5.0;-3.857;8.374;5.0;3.0;1.0;4.0;3.571;2.37;1.0;8.0;2.714;0.0;1.548;4.9;7.3;6.047;1.25;-2.0;-3.0;2.082;-0.5;0.0;0.0;0.0;5.0;10.0;6.429;-0.0;5.0;2.887;0.0;8.0;6.557;-4.0;0.731
31;9;239;4.0;-9.0;-188;102;44;4;1.511;1.385;-0.126;408;20761;9;1.213;98.0;100.0;99.0;8.0;3.0;8.0;4.0;5.0;147.0;-21.0;-21.0;-13.0;-6.0;0.0;1.0;4.0;4.0;1.0;2.0;4.85;3.816;18.432;2.0;2.573;8.905;74.0;0.0;0.0;0.938;6.667;3.215;3.0;9.0;8.0;3.651;3.0;15.0;6.571;2.954;3.0;15.0;8.505;17.883;28.538;0.0;-21.0;-10.286;11.383;5.0;-5.357;9.443;5.0;3.0;1.0;4.0;4.0;2.082;1.0;8.0;2.857;0.0;1.534;4.8;-0.1;4.186;4.85;4.0;6.0;3.0;1.0;0.0;0.0;0.0;1.0;-4.0;5.033;3.0;1.0;3.215;0.0;0.0;4.619;0.0;0.726
32;10;249;4.13;-18.0;-246;100;46;1;1.534;1.396;-0.138;408;20751;9;1.229;102.0;98.0;100.0;9.0;8.0;3.0;6.0;5.0;152.0;-21.0;-21.0;-21.0;5.0;1.0;4.0;1.0;4.0;4.0;0.0;4.85;5.232;17.147;2.0;1.618;7.738;79.0;0.0;0.0;0.852;9.0;1.0;8.0;10.0;8.571;3.599;3.0;15.0;6.929;3.05;3.0;15.0;9.504;17.642;29.968;12.702;-21.0;-17.143;14.634;0.0;-8.5;13.58;5.0;2.0;1.0;4.0;3.571;2.37;1.0;8.0;2.929;0.0;1.614;4.9;0.1;0.058;4.85;-2.0;-6.0;3.464;1.0;0.0;0.0;0.0;1.0;0.0;2.309;1.0;1.0;1.0;-22.0;-22.0;12.702;-11.0;0.722
33;10;259;4.26;-34.0;-342;100;46;0;1.556;1.408;-0.148;408;20741;9;1.241;100.0;102.0;98.0;10.0;9.0;8.0;7.0;5.0;157.0;-43.0;-21.0;-21.0;-1.0;2.0;1.0;4.0;1.0;8.0;2.0;4.9;6.867;15.949;1.155;1.618;6.844;83.0;0.0;0.0;0.726;9.667;0.577;9.0;10.0;9.0;3.559;3.0;15.0;7.286;3.099;3.0;15.0;10.0;17.212;31.5;30.892;-21.0;-28.714;26.75;0.0;-14.5;23.51;5.0;1.667;0.0;4.0;2.429;1.718;0.0;4.0;2.786;0.0;1.663;4.9;0.0;0.058;4.9;0.0;2.0;3.055;-1.0;0.0;0.0;0.0;0.0;-1.0;0.577;0.5;0.0;0.577;-39.0;-17.0;19.553;-30.5;0.716
34;10;269;4.39;-46.0;-361;100;44;-1;1.578;1.42;-0.158;407;20731;9;1.25;100.0;100.0;102.0;10.0;10.0;9.0;15.0;5.0;162.0;-82.0;-43.0;-21.0;0.0;1.0;0.0;1.0;4.0;3.0;5.0;3.764;8.543;15.013;0.0;1.215;6.44;83.0;0.0;0.0;0.535;10.0;0.0;10.0;10.0;8.286;2.498;3.0;10.0;7.643;3.104;3.0;15.0;10.0;18.894;33.039;33.65;-43.0;-44.429;37.3;-13.0;-22.429;34.178;5.0;0.0;-1.0;1.0;1.857;2.116;-1.0;4.0;2.357;-1.0;1.688;2.5;-2.4;1.386;3.7;0.0;0.0;1.155;-0.0;0.0;0.0;0.0;0.0;0.0;0.577;0.0;0.0;0.0;-28.0;11.0;8.622;-33.5;0.71
