"AGE","MATI","JML_DEPLESI","STD_CUM_DEPLESI_%","PAKAN_STD_CUM_GR/EK","DELTA_PAKAN_ZAK","DELTA_PAKAN_CUM_GR/EKOR","DG_ACT","DELTA_ABW","DELTA_DG","FCR_STD","DELTA_FCR","IP_STD","IP_ACT","JUMLAH_AYAM_AKHIR","PERIODE","FCR_ACT_lag_7","FCR_ACT_lag_14","PAKAN_ACT_GR/EK_lag_14","DG_ACT_lag_1","DG_ACT_lag_2","DG_ACT_lag_3","DG_ACT_lag_7","DG_ACT_lag_14","MATI_lag_1","MATI_lag_2","MATI_lag_3","MATI_lag_7","MATI_lag_14","JML_DEPLESI_lag_7","JML_DEPLESI_lag_14","DELTA_PAKAN_GR/EKOR_lag_1","DELTA_PAKAN_GR/EKOR_lag_2","DELTA_PAKAN_GR/EKOR_lag_3","DELTA_PAKAN_GR/EKOR_lag_7","DELTA_PAKAN_GR/EKOR_lag_14","DELTA_DG_lag_1","DELTA_DG_lag_2","DELTA_DG_lag_3","DELTA_DG_lag_7","DELTA_DG_lag_14","PAKAN_ACT_GR/EK_rolling_std_3","PAKAN_ACT_GR/EK_rolling_std_7","PAKAN_ACT_GR/EK_rolling_std_14","DG_ACT_rolling_mean_3","DG_ACT_rolling_std_3","DG_ACT_rolling_min_3","DG_ACT_rolling_max_3","DG_ACT_rolling_std_7","DG_ACT_rolling_min_7","DG_ACT_rolling_std_14","DG_ACT_rolling_min_14","MATI_rolling_mean_3","MATI_rolling_std_3","MATI_rolling_min_3","MATI_rolling_max_3","MATI_rolling_mean_7","MATI_rolling_std_7","MATI_rolling_min_7","MATI_rolling_max_7","MATI_rolling_mean_14","MATI_rolling_std_14","MATI_rolling_min_14","MATI_rolling_max_14","JML_DEPLESI_rolling_std_3","JML_DEPLESI_rolling_std_7","JML_DEPLESI_rolling_std_14","DELTA_PAKAN_GR/EKOR_rolling_mean_3","DELTA_PAKAN_GR/EKOR_rolling_std_3","DELTA_PAKAN_GR/EKOR_rolling_min_3","DELTA_PAKAN_GR/EKOR_rolling_max_3","DELTA_PAKAN_GR/EKOR_rolling_mean_7","DELTA_PAKAN_GR/EKOR_rolling_std_7","DELTA_PAKAN_GR/EKOR_rolling_min_7","DELTA_PAKAN_GR/EKOR_rolling_max_7","DELTA_PAKAN_GR/EKOR_rolling_mean_14","DELTA_PAKAN_GR/EKOR_rolling_std_14","DELTA_PAKAN_GR/EKOR_rolling_min_14","DELTA_PAKAN_GR/EKOR_rolling_max_14","DELTA_DG_rolling_mean_3","DELTA_DG_rolling_min_3","DELTA_DG_rolling_max_3","DELTA_DG_rolling_mean_7","DELTA_DG_rolling_std_7","DELTA_DG_rolling_min_7","DELTA_DG_rolling_max_7","DELTA_DG_rolling_mean_14","DELTA_DG_rolling_std_14","DELTA_DG_rolling_min_14","PAKAN_DG_RATIO","PAKAN_ACT_GR/EK_momentum_1","PAKAN_ACT_GR/EK_acceleration","PAKAN_ACT_GR/EK_volatility_3","PAKAN_ACT_GR/EK_trend_slope_3","DG_ACT_momentum_1","DG_ACT_acceleration","DG_ACT_volatility_3","DG_ACT_trend_slope_3","MATI_momentum_1","MATI_acceleration","MATI_volatility_3","MATI_trend_slope_3","JML_DEPLESI_momentum_1","JML_DEPLESI_acceleration","JML_DEPLESI_volatility_3","ABW_ACT_acceleration","ABW_ACT_volatility_3","DELTA_PAKAN_GR/EKOR_momentum_1","DELTA_PAKAN_GR/EKOR_acceleration","DELTA_PAKAN_GR/EKOR_volatility_3","DELTA_PAKAN_GR/EKOR_trend_slope_3","FEED_EFFICIENCY_lag_1","FCR_ACT","prediction(FCR_ACT)"
17.0,8.0,131.0,2.18,936.0,-2.0,-53.0,72.0,-32.0,1.0,1.239,-0.019,334.0,347.0,17569.0,2.0,1.09,0.747,25.5,54.0,70.0,57.0,38.0,16.0,5.0,9.0,4.0,3.0,11.0,87.0,44.0,1.0,1.0,-4.0,-8.0,-1.0,-14.0,5.0,-4.0,-7.0,-5.0,3.32,11.509,22.591,65.333,9.866,54.0,72.0,9.335,45.0,16.853,22.0,7.333,2.082,5.0,9.0,6.286,2.69,3.0,10.0,6.214,2.326,3.0,10.0,6.557,12.549,24.272,-1.0,3.464,-5.0,1.0,-1.429,2.37,-5.0,1.0,-3.071,5.121,-17.0,2.0,-2.667,-14.0,5.0,-1.714,7.783,-14.0,8.0,-2.571,5.787,-14.0,1.265,0.1,-5.6,5.65,2.9,18.0,34.0,18.358,1.0,3.0,7.0,4.726,-0.5,8.0,3.0,2.082,18.0,9.866,-6.0,-6.0,5.508,-3.0,0.823,1.22,1.2188174808269925
18.0,4.0,135.0,2.31,1036.0,-6.0,-67.0,76.0,-30.0,2.0,1.249,-0.038,343.0,364.0,17565.0,2.0,1.091,0.849,28.3,72.0,54.0,70.0,57.0,22.0,8.0,5.0,9.0,10.0,7.0,97.0,51.0,-5.0,1.0,1.0,-1.0,-2.0,1.0,-14.0,5.0,8.0,-3.0,3.262,9.608,21.995,67.333,11.719,54.0,76.0,11.267,45.0,17.407,24.0,5.667,2.082,4.0,8.0,5.429,2.225,3.0,9.0,6.0,2.386,3.0,10.0,6.11,13.25,23.812,-7.0,9.165,-17.0,1.0,-3.714,6.317,-17.0,1.0,-4.143,6.311,-17.0,2.0,-3.667,-14.0,2.0,-2.571,6.803,-14.0,5.0,-2.214,5.912,-14.0,1.124,-5.7,-5.8,5.7,-2.8,4.0,-14.0,17.088,11.0,-4.0,-7.0,4.041,-0.5,4.0,-4.0,2.082,4.0,11.719,-12.0,-6.0,6.0,-9.0,0.82,1.211,1.211011725819127
19.0,8.0,143.0,2.44,1142.0,-2.0,-74.0,65.0,-43.0,-12.0,1.259,-0.024,378.0,366.0,17557.0,2.0,1.137,0.944,34.0,76.0,72.0,54.0,45.0,24.0,4.0,8.0,5.0,3.0,8.0,100.0,59.0,-17.0,-5.0,1.0,0.0,0.0,2.0,1.0,-14.0,-9.0,-3.0,7.199,10.066,22.582,71.0,5.568,65.0,76.0,8.58,54.0,16.36,26.0,6.667,2.309,4.0,8.0,6.143,2.116,4.0,9.0,6.0,2.386,3.0,10.0,6.11,13.855,23.889,-9.333,6.658,-17.0,-5.0,-4.571,6.133,-17.0,1.0,-4.571,6.211,-17.0,2.0,-3.0,-12.0,2.0,-3.0,7.348,-14.0,5.0,-2.857,6.467,-14.0,1.534,14.3,20.0,10.29,4.3,-11.0,-15.0,14.503,-3.5,4.0,8.0,4.359,-0.0,8.0,4.0,2.309,-11.0,5.568,11.0,23.0,11.93,-0.5,0.826,1.235,1.2350344950044065
20.0,6.0,149.0,2.57,1256.0,0.0,-74.0,73.0,-29.0,-7.0,1.272,-0.012,383.0,369.0,17551.0,2.0,1.151,1.033,39.7,65.0,76.0,72.0,57.0,26.0,8.0,4.0,8.0,5.0,9.0,105.0,68.0,-6.0,-17.0,-5.0,-2.0,2.0,-12.0,2.0,1.0,1.0,-4.0,14.3,12.645,24.428,71.333,5.686,65.0,76.0,8.401,54.0,15.509,27.0,6.0,2.0,4.0,8.0,6.286,2.059,4.0,9.0,5.786,2.225,3.0,10.0,7.024,14.08,24.378,-7.667,8.622,-17.0,0.0,-4.286,6.317,-17.0,1.0,-4.714,6.069,-17.0,1.0,-5.667,-12.0,2.0,-4.143,7.244,-14.0,5.0,-3.071,6.557,-14.0,1.562,14.3,0.0,11.547,14.3,8.0,19.0,10.017,-1.5,-2.0,-6.0,4.163,1.0,6.0,-2.0,2.0,8.0,5.686,6.0,-5.0,12.097,8.5,0.81,1.26,1.2620825645648144
21.0,7.0,156.0,2.7,1382.0,0.0,-80.0,52.0,-79.0,-30.0,1.294,0.021,387.0,355.0,17544.0,2.0,1.166,1.107,42.6,73.0,65.0,76.0,57.0,27.0,6.0,8.0,4.0,4.0,6.0,109.0,74.0,0.0,-6.0,-17.0,-4.0,0.0,-7.0,-12.0,2.0,-4.0,-6.0,10.304,13.823,25.954,63.333,10.599,52.0,73.0,9.504,52.0,13.333,34.0,7.0,1.0,6.0,8.0,6.714,1.799,4.0,9.0,5.857,2.248,3.0,10.0,6.506,13.758,25.034,-2.0,3.464,-6.0,0.0,-3.714,6.525,-17.0,1.0,-4.714,6.069,-17.0,1.0,-16.333,-30.0,-7.0,-7.857,12.158,-30.0,5.0,-4.786,9.744,-30.0,2.302,5.7,-8.6,4.965,10.0,-21.0,-29.0,14.731,-6.5,1.0,3.0,3.0,-0.5,7.0,1.0,1.0,-21.0,10.599,0.0,-6.0,5.508,3.0,0.794,1.315,1.3130671302144425
22.0,6.0,162.0,2.83,1517.0,-8.0,-112.0,43.0,-120.0,-41.0,1.137,0.223,391.0,342.0,17538.0,2.0,1.172,1.07,28.4,52.0,73.0,65.0,70.0,34.0,7.0,6.0,8.0,9.0,4.0,118.0,78.0,0.0,0.0,-6.0,1.0,-17.0,-30.0,-7.0,-12.0,5.0,-4.0,8.707,12.666,22.523,56.0,15.395,43.0,73.0,12.589,43.0,12.333,38.0,6.333,0.577,6.0,7.0,6.286,1.496,4.0,8.0,6.0,2.184,3.0,10.0,6.506,13.985,25.455,-7.667,13.279,-23.0,0.0,-7.143,9.335,-23.0,1.0,-5.143,7.124,-23.0,1.0,-26.0,-41.0,-7.0,-14.429,15.904,-41.0,2.0,-7.429,13.721,-41.0,2.386,-17.1,-22.8,16.226,-5.7,-9.0,12.0,14.572,-15.0,-1.0,-2.0,1.528,0.0,6.0,-1.0,0.577,-9.0,15.395,-23.0,-23.0,15.308,-11.5,0.76,1.36,1.360429448306086
23.0,41.0,203.0,2.96,1656.0,-10.0,-149.0,55.0,-151.0,-31.0,1.337,0.049,394.0,337.0,17497.0,2.0,1.215,1.066,45.4,43.0,52.0,73.0,54.0,44.0,6.0,7.0,6.0,5.0,6.0,123.0,84.0,-23.0,0.0,0.0,1.0,-8.0,-41.0,-30.0,-7.0,-14.0,3.0,9.787,11.957,20.329,50.0,6.245,43.0,55.0,12.486,43.0,11.753,38.0,18.0,19.925,6.0,41.0,11.429,13.113,4.0,41.0,8.5,9.606,3.0,41.0,25.58,24.169,31.233,-17.333,15.308,-29.0,0.0,-11.429,11.588,-29.0,0.0,-6.643,9.564,-29.0,1.0,-34.0,-41.0,-30.0,-16.857,17.082,-41.0,2.0,-9.857,14.707,-41.0,1.871,0.3,17.4,11.915,-8.4,12.0,21.0,16.703,1.5,35.0,36.0,20.232,17.0,41.0,35.0,19.925,12.0,6.245,-6.0,17.0,11.93,-14.5,0.735,1.386,1.3860202290894326
25.0,21.0,240.0,3.22,1958.0,-7.0,-216.0,94.0,-164.0,4.0,1.382,0.007,400.0,356.0,17460.0,2.0,1.211,1.091,62.5,72.0,55.0,43.0,76.0,57.0,16.0,41.0,6.0,4.0,10.0,135.0,97.0,-26.0,-29.0,-23.0,-17.0,-1.0,-16.0,-31.0,-41.0,2.0,8.0,10.137,9.069,17.815,73.667,19.553,55.0,94.0,16.866,43.0,13.885,43.0,26.0,13.229,16.0,41.0,15.0,12.832,6.0,41.0,10.214,10.146,3.0,41.0,18.556,38.426,43.36,-25.333,4.041,-29.0,-21.0,-15.0,12.57,-29.0,0.0,-9.357,11.209,-29.0,1.0,-14.333,-31.0,4.0,-19.0,15.706,-41.0,4.0,-10.786,14.418,-41.0,1.31,11.6,3.0,5.853,10.1,22.0,5.0,5.0,19.5,5.0,30.0,30.0,-10.0,21.0,5.0,13.229,22.0,19.553,5.0,2.0,5.859,4.0,0.716,1.389,1.3893774952513458
26.0,6.0,246.0,3.35,2120.0,-3.0,-237.0,103.0,-153.0,11.0,1.405,-0.018,402.0,371.0,17454.0,2.0,1.235,1.137,68.2,94.0,72.0,55.0,65.0,45.0,21.0,16.0,41.0,8.0,3.0,143.0,100.0,-21.0,-26.0,-29.0,-6.0,0.0,4.0,-16.0,-31.0,-12.0,-9.0,14.543,13.129,19.61,89.667,15.948,72.0,103.0,22.194,43.0,16.449,43.0,14.333,7.638,6.0,21.0,14.714,13.035,6.0,41.0,10.429,10.013,4.0,41.0,14.177,40.779,47.863,-19.0,8.185,-26.0,-10.0,-15.571,12.177,-29.0,0.0,-10.071,10.88,-29.0,1.0,-0.333,-16.0,11.0,-15.714,19.388,-41.0,11.0,-9.357,15.554,-41.0,1.363,17.3,5.7,4.419,14.45,9.0,-13.0,6.557,15.5,-15.0,-20.0,15.275,-5.0,6.0,-15.0,7.638,9.0,15.948,11.0,6.0,4.163,8.0,0.72,1.387,1.3897057230028271
29.0,3.0,258.0,3.74,2635.0,-2.0,-277.0,116.0,-115.0,20.0,1.47,-0.065,406.0,406.0,17442.0,2.0,1.36,1.172,85.3,128.0,78.0,103.0,43.0,70.0,5.0,4.0,6.0,6.0,9.0,162.0,118.0,-4.0,-1.0,-10.0,-23.0,1.0,33.0,-16.0,11.0,-41.0,5.0,4.43,23.973,26.134,107.333,26.102,78.0,128.0,25.695,55.0,24.95,43.0,4.0,1.0,3.0,5.0,13.714,13.829,3.0,41.0,10.0,10.206,3.0,41.0,4.041,20.345,52.56,-3.333,2.082,-5.0,-1.0,-13.714,11.427,-29.0,-1.0,-10.429,10.588,-29.0,1.0,12.333,-16.0,33.0,0.714,22.714,-31.0,33.0,-6.857,20.411,-41.0,1.409,5.8,2.9,5.925,4.35,-12.0,-62.0,40.079,19.0,-2.0,-3.0,1.732,-0.5,3.0,-2.0,1.0,-12.0,26.102,-1.0,2.0,6.429,-2.0,0.712,1.405,1.4030088787263186
31.0,5.0,271.0,4.0,3004.0,0.0,-296.0,91.0,-133.0,-7.0,1.511,-0.052,408.0,404.0,17429.0,2.0,1.396,1.22,91.1,86.0,116.0,128.0,72.0,72.0,8.0,3.0,5.0,16.0,8.0,219.0,131.0,-1.0,-5.0,-4.0,-26.0,-5.0,-11.0,20.0,33.0,-16.0,1.0,7.298,18.808,30.134,97.667,16.073,86.0,116.0,17.53,78.0,24.191,43.0,5.333,2.517,3.0,8.0,7.429,6.188,3.0,21.0,10.0,10.206,3.0,41.0,6.557,10.931,51.257,-2.0,2.646,-5.0,0.0,-6.0,7.439,-21.0,0.0,-10.214,10.721,-29.0,0.0,0.667,-11.0,20.0,4.857,17.733,-16.0,33.0,-7.214,20.226,-41.0,1.955,5.8,-2.9,1.674,7.25,5.0,35.0,17.502,-12.5,-3.0,-8.0,4.359,1.0,5.0,-3.0,2.517,5.0,16.073,1.0,-3.0,2.517,2.5,0.697,1.459,1.4590709708097553
35.0,0.0,295.0,4.52,3821.0,0.0,-352.0,247.0,12.0,146.0,1.6,-0.156,406.0,467.0,17405.0,2.0,1.404,1.315,119.7,99.0,101.0,99.0,128.0,52.0,1.0,14.0,9.0,5.0,7.0,255.0,156.0,-1.0,-1.0,1.0,-4.0,0.0,-2.0,1.0,0.0,33.0,-30.0,5.75,11.961,33.487,149.0,84.876,99.0,247.0,56.84,86.0,47.641,43.0,5.0,7.81,0.0,14.0,5.714,4.957,0.0,14.0,9.929,10.695,0.0,41.0,0.577,15.313,37.845,-0.667,0.577,-1.0,0.0,-1.0,1.915,-5.0,1.0,-8.643,11.05,-29.0,1.0,48.333,-2.0,146.0,21.0,55.982,-11.0,146.0,6.5,44.445,-41.0,0.802,5.7,-0.1,1.589,5.75,148.0,150.0,85.471,73.0,-1.0,12.0,9.165,-7.0,0.0,-1.0,7.81,148.0,84.876,1.0,1.0,1.528,0.5,0.659,1.444,1.4723887823949942
4.0,7.0,51.0,0.49,96.0,-1.0,6.0,22.0,3.0,-3.0,0.826,0.024,0.0,0.0,17649.0,3.0,0.362,0.362,25.4,16.0,14.0,22.0,22.0,22.0,11.0,17.0,16.0,16.0,16.0,16.0,16.0,-1.0,1.0,7.0,7.0,7.0,-5.0,-3.0,8.0,8.0,8.0,2.85,2.327,2.327,17.333,4.163,14.0,22.0,4.123,14.0,4.123,14.0,11.667,5.033,7.0,17.0,12.75,4.646,7.0,17.0,12.75,4.646,7.0,17.0,9.074,15.253,15.253,-0.667,1.528,-2.0,1.0,1.25,4.031,-2.0,7.0,1.25,4.031,-2.0,7.0,-3.667,-5.0,-3.0,-0.75,5.909,-5.0,8.0,-0.75,5.909,-5.0,1.286,2.8,-0.1,3.262,2.85,6.0,4.0,7.211,4.0,-4.0,2.0,3.606,-5.0,7.0,-4.0,5.033,6.0,3.969,-1.0,1.0,2.646,-1.5,1.332,0.85,0.8157532756707941
5.0,8.0,59.0,0.62,131.0,0.0,5.0,24.0,0.0,-3.0,0.914,0.03,0.0,0.0,17641.0,3.0,0.362,0.362,25.4,22.0,16.0,14.0,22.0,22.0,7.0,11.0,17.0,16.0,16.0,16.0,16.0,-2.0,-1.0,1.0,7.0,7.0,-3.0,-5.0,-3.0,8.0,8.0,4.332,4.322,4.322,20.667,4.163,16.0,24.0,4.336,14.0,4.336,14.0,8.667,2.082,7.0,11.0,11.8,4.55,7.0,17.0,11.8,4.55,7.0,17.0,7.506,16.742,16.742,-1.0,1.0,-2.0,0.0,1.0,3.536,-2.0,7.0,1.0,3.536,-2.0,7.0,-3.667,-5.0,-3.0,-1.2,5.215,-5.0,8.0,-1.2,5.215,-5.0,1.417,5.7,2.9,1.646,4.25,2.0,-4.0,2.309,4.0,1.0,5.0,3.606,-1.5,8.0,1.0,2.082,2.5,4.368,2.0,3.0,2.082,0.5,1.176,0.944,0.9431179695250944
6.0,9.0,68.0,0.75,170.0,1.0,6.0,26.0,-4.0,-4.0,0.979,0.056,0.0,0.0,17632.0,3.0,0.362,0.362,25.4,24.0,22.0,16.0,22.0,22.0,8.0,7.0,11.0,16.0,16.0,16.0,16.0,0.0,-2.0,-1.0,7.0,7.0,-3.0,-3.0,-5.0,8.0,8.0,5.7,6.415,6.415,24.0,2.0,22.0,26.0,4.676,14.0,4.676,14.0,8.0,1.0,7.0,9.0,11.333,4.227,7.0,17.0,11.333,4.227,7.0,17.0,8.505,18.691,18.691,0.0,2.0,-2.0,2.0,1.167,3.189,-2.0,7.0,1.167,3.189,-2.0,7.0,-3.333,-4.0,-3.0,-1.667,4.803,-5.0,8.0,-1.667,4.803,-5.0,1.527,5.7,0.0,1.674,5.7,2.0,0.0,2.309,2.0,1.0,0.0,2.887,1.0,9.0,1.0,1.0,2.0,2.255,2.0,0.0,1.732,2.0,1.059,1.035,1.013875057473474
7.0,6.0,74.0,0.68,210.0,0.0,8.0,27.0,-8.0,-6.0,1.029,0.078,270.0,253.0,17626.0,3.0,0.362,0.362,25.4,26.0,24.0,22.0,22.0,22.0,9.0,8.0,7.0,16.0,16.0,16.0,16.0,2.0,0.0,-2.0,7.0,7.0,-4.0,-3.0,-3.0,8.0,8.0,4.375,7.73,7.73,25.667,1.528,24.0,27.0,4.894,14.0,4.894,14.0,7.667,1.528,6.0,9.0,10.571,4.353,6.0,17.0,10.571,4.353,6.0,17.0,7.55,20.246,20.246,0.667,1.155,0.0,2.0,1.0,2.944,-2.0,7.0,1.0,2.944,-2.0,7.0,-4.333,-6.0,-3.0,-2.286,4.68,-6.0,8.0,-2.286,4.68,-6.0,1.578,2.9,-2.8,1.617,4.3,1.0,-1.0,0.577,1.5,-3.0,-4.0,2.309,-1.0,6.0,-3.0,1.528,1.0,1.528,-2.0,-4.0,2.309,0.0,0.966,1.107,1.1058506367996483
20.0,6.0,149.0,2.57,1256.0,0.0,-74.0,73.0,-29.0,-7.0,1.272,-0.012,383.0,369.0,17551.0,3.0,1.151,1.035,39.7,65.0,76.0,72.0,57.0,26.0,8.0,4.0,8.0,5.0,9.0,105.0,68.0,-6.0,-17.0,-5.0,-2.0,2.0,-12.0,2.0,1.0,1.0,-4.0,14.3,12.645,24.428,71.333,5.686,65.0,76.0,8.401,54.0,15.509,27.0,6.0,2.0,4.0,8.0,6.286,2.059,4.0,9.0,5.786,2.225,3.0,10.0,7.024,14.08,24.378,-7.667,8.622,-17.0,0.0,-4.286,6.317,-17.0,1.0,-4.714,6.069,-17.0,1.0,-5.667,-12.0,2.0,-4.143,7.244,-14.0,5.0,-3.071,6.557,-14.0,1.562,14.3,0.0,11.547,14.3,8.0,19.0,10.017,-1.5,-2.0,-6.0,4.163,1.0,6.0,-2.0,2.0,8.0,5.686,6.0,-5.0,12.097,8.5,0.81,1.26,1.2622433047247275
26.0,6.0,246.0,3.35,2120.0,-3.0,-237.0,103.0,-153.0,11.0,1.405,-0.017,402.0,371.0,17454.0,3.0,1.235,1.138,68.2,94.0,72.0,55.0,65.0,45.0,21.0,16.0,41.0,8.0,3.0,143.0,100.0,-21.0,-26.0,-29.0,-6.0,0.0,4.0,-16.0,-31.0,-12.0,-9.0,14.543,13.129,19.61,89.667,15.948,72.0,103.0,22.194,43.0,16.449,43.0,14.333,7.638,6.0,21.0,14.714,13.035,6.0,41.0,10.429,10.013,4.0,41.0,14.177,40.779,47.863,-19.0,8.185,-26.0,-10.0,-15.571,12.177,-29.0,0.0,-10.071,10.88,-29.0,1.0,-0.333,-16.0,11.0,-15.714,19.388,-41.0,11.0,-9.357,15.554,-41.0,1.363,17.3,5.7,4.419,14.45,9.0,-13.0,6.557,15.5,-15.0,-20.0,15.275,-5.0,6.0,-15.0,7.638,9.0,15.948,11.0,6.0,4.163,8.0,0.72,1.388,1.3895631228505967
27.0,4.0,250.0,3.4,2285.0,0.0,-248.0,78.0,-169.0,-16.0,1.426,-0.006,404.0,369.0,17450.0,3.0,1.26,1.151,71.0,103.0,94.0,72.0,73.0,57.0,6.0,21.0,16.0,6.0,5.0,149.0,105.0,-10.0,-21.0,-26.0,0.0,-2.0,11.0,4.0,-16.0,-7.0,1.0,15.824,19.432,22.38,91.667,12.662,78.0,103.0,22.376,43.0,16.389,43.0,10.333,9.292,4.0,21.0,14.429,13.277,4.0,41.0,10.357,10.058,4.0,41.0,5.033,39.032,50.668,-10.667,10.017,-21.0,-1.0,-15.714,11.968,-29.0,0.0,-10.0,10.94,-29.0,1.0,-0.333,-16.0,11.0,-17.0,19.009,-41.0,11.0,-10.571,15.346,-41.0,1.983,14.3,-3.0,2.851,15.8,-25.0,-34.0,24.269,-8.0,-2.0,13.0,10.149,-8.5,4.0,-2.0,9.292,-25.0,12.662,9.0,-2.0,3.055,10.0,0.72,1.42,1.4194775111118862
29.0,3.0,258.0,3.74,2635.0,-2.0,-277.0,116.0,-115.0,20.0,1.47,-0.066,406.0,406.0,17442.0,3.0,1.36,1.172,85.3,128.0,78.0,103.0,43.0,70.0,5.0,4.0,6.0,6.0,9.0,162.0,118.0,-4.0,-1.0,-10.0,-23.0,1.0,33.0,-16.0,11.0,-41.0,5.0,4.43,23.973,26.134,107.333,26.102,78.0,128.0,25.695,55.0,24.95,43.0,4.0,1.0,3.0,5.0,13.714,13.829,3.0,41.0,10.0,10.206,3.0,41.0,4.041,20.345,52.56,-3.333,2.082,-5.0,-1.0,-13.714,11.427,-29.0,-1.0,-10.429,10.588,-29.0,1.0,12.333,-16.0,33.0,0.714,22.714,-31.0,33.0,-6.857,20.411,-41.0,1.409,5.8,2.9,5.925,4.35,-12.0,-62.0,40.079,19.0,-2.0,-3.0,1.732,-0.5,3.0,-2.0,1.0,-12.0,26.102,-1.0,2.0,6.429,-2.0,0.712,1.404,1.4032144630509085
35.0,0.0,295.0,4.52,3821.0,0.0,-352.0,247.0,12.0,146.0,1.6,-0.156,406.0,467.0,17405.0,3.0,1.404,1.315,119.7,99.0,101.0,99.0,128.0,52.0,1.0,14.0,9.0,5.0,7.0,255.0,156.0,-1.0,-1.0,1.0,-4.0,0.0,-2.0,1.0,0.0,33.0,-30.0,5.75,11.961,33.487,149.0,84.876,99.0,247.0,56.84,86.0,47.641,43.0,5.0,7.81,0.0,14.0,5.714,4.957,0.0,14.0,9.929,10.695,0.0,41.0,0.577,15.313,37.845,-0.667,0.577,-1.0,0.0,-1.0,1.915,-5.0,1.0,-8.643,11.05,-29.0,1.0,48.333,-2.0,146.0,21.0,55.982,-11.0,146.0,6.5,44.445,-41.0,0.802,5.7,-0.1,1.589,5.75,148.0,150.0,85.471,73.0,-1.0,12.0,9.165,-7.0,0.0,-1.0,7.81,148.0,84.876,1.0,1.0,1.528,0.5,0.659,1.444,1.4725855490065602
1.0,21.0,21.0,0.1,18.0,0.0,0.0,22.0,-1.0,8.0,0.321,-0.003,0.0,0.0,19979.0,4.0,0.318,0.318,17.5,22.0,22.0,22.0,22.0,22.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,8.0,1.768,1.768,1.768,22.0,6.364,22.0,22.0,6.364,22.0,6.364,22.0,21.0,2.828,21.0,21.0,21.0,2.828,21.0,21.0,21.0,2.828,21.0,21.0,17.678,17.678,17.678,0.0,4.95,0.0,0.0,0.0,4.95,0.0,0.0,0.0,4.95,0.0,0.0,8.0,8.0,8.0,8.0,8.485,8.0,8.0,8.0,8.485,8.0,0.795,-2.5,2.5,1.768,-1.25,-9.0,14.0,9.899,-2.0,4.0,-12.0,8.485,-2.0,25.0,-8.0,5.657,5.0,3.536,-7.0,3.0,2.121,-5.5,3.145,0.318,0.28725895943821245
2.0,25.0,46.0,0.23,40.0,-3.0,-7.0,13.0,-5.0,-4.0,0.549,-0.07,0.0,0.0,19954.0,4.0,0.318,0.318,17.5,22.0,22.0,22.0,22.0,22.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,8.0,1.768,1.768,1.768,17.5,6.364,13.0,22.0,6.364,13.0,6.364,13.0,23.0,2.828,21.0,25.0,23.0,2.828,21.0,25.0,23.0,2.828,21.0,25.0,17.678,17.678,17.678,-3.5,4.95,-7.0,0.0,-3.5,4.95,-7.0,0.0,-3.5,4.95,-7.0,0.0,2.0,-4.0,8.0,2.0,8.485,-4.0,8.0,2.0,8.485,-4.0,1.154,-2.5,2.5,1.768,-1.25,-9.0,14.0,9.899,-2.0,4.0,-12.0,8.485,-2.0,25.0,-8.0,5.657,5.0,3.536,-7.0,3.0,2.121,-5.5,3.145,0.479,0.5513599071873831
3.0,17.0,63.0,0.36,66.0,-4.0,-18.0,18.0,-8.0,-2.0,0.711,-0.157,0.0,0.0,19937.0,4.0,0.318,0.318,17.5,13.0,22.0,22.0,22.0,22.0,25.0,21.0,21.0,21.0,21.0,21.0,21.0,-7.0,0.0,0.0,0.0,0.0,-4.0,8.0,8.0,8.0,8.0,1.443,1.443,1.443,17.667,4.509,13.0,22.0,4.509,13.0,4.509,13.0,21.0,4.0,17.0,25.0,21.0,4.0,17.0,25.0,21.0,4.0,17.0,25.0,21.127,21.127,21.127,-6.0,5.568,-11.0,0.0,-6.0,5.568,-11.0,0.0,-6.0,5.568,-11.0,0.0,0.667,-4.0,8.0,0.667,6.429,-4.0,8.0,0.667,6.429,-4.0,0.833,0.0,2.5,1.768,-1.25,5.0,14.0,9.899,-2.0,-8.0,-12.0,8.485,-2.0,17.0,-8.0,5.657,5.0,3.536,-4.0,3.0,2.121,-5.5,2.088,0.554,0.5779775551518687
