"AGE","MATI","JML_DEPLESI","STD_CUM_DEPLESI_%","PAKAN_STD_CUM_GR/EK","DELTA_PAKAN_ZAK","DELTA_PAKAN_CUM_GR/EKOR","DG_ACT","DELTA_ABW","DELTA_DG","FCR_STD","DELTA_FCR","IP_STD","IP_ACT","JUMLAH_AYAM_AKHIR","PERIODE","FCR_ACT_lag_7","FCR_ACT_lag_14","PAKAN_ACT_GR/EK_lag_14","DG_ACT_lag_1","DG_ACT_lag_2","DG_ACT_lag_3","DG_ACT_lag_7","DG_ACT_lag_14","MATI_lag_1","MATI_lag_2","MATI_lag_3","MATI_lag_7","MATI_lag_14","JML_DEPLESI_lag_7","JML_DEPLESI_lag_14","DELTA_PAKAN_GR/EKOR_lag_1","DELTA_PAKAN_GR/EKOR_lag_2","DELTA_PAKAN_GR/EKOR_lag_3","DELTA_PAKAN_GR/EKOR_lag_7","DELTA_PAKAN_GR/EKOR_lag_14","DELTA_DG_lag_1","DELTA_DG_lag_2","DELTA_DG_lag_3","DELTA_DG_lag_7","DELTA_DG_lag_14","PAKAN_ACT_GR/EK_rolling_std_3","PAKAN_ACT_GR/EK_rolling_std_7","PAKAN_ACT_GR/EK_rolling_std_14","DG_ACT_rolling_mean_3","DG_ACT_rolling_std_3","DG_ACT_rolling_min_3","DG_ACT_rolling_max_3","DG_ACT_rolling_std_7","DG_ACT_rolling_min_7","DG_ACT_rolling_std_14","DG_ACT_rolling_min_14","MATI_rolling_mean_3","MATI_rolling_std_3","MATI_rolling_min_3","MATI_rolling_max_3","MATI_rolling_mean_7","MATI_rolling_std_7","MATI_rolling_min_7","MATI_rolling_max_7","MATI_rolling_mean_14","MATI_rolling_std_14","MATI_rolling_min_14","MATI_rolling_max_14","JML_DEPLESI_rolling_std_3","JML_DEPLESI_rolling_std_7","JML_DEPLESI_rolling_std_14","DELTA_PAKAN_GR/EKOR_rolling_mean_3","DELTA_PAKAN_GR/EKOR_rolling_std_3","DELTA_PAKAN_GR/EKOR_rolling_min_3","DELTA_PAKAN_GR/EKOR_rolling_max_3","DELTA_PAKAN_GR/EKOR_rolling_mean_7","DELTA_PAKAN_GR/EKOR_rolling_std_7","DELTA_PAKAN_GR/EKOR_rolling_min_7","DELTA_PAKAN_GR/EKOR_rolling_max_7","DELTA_PAKAN_GR/EKOR_rolling_mean_14","DELTA_PAKAN_GR/EKOR_rolling_std_14","DELTA_PAKAN_GR/EKOR_rolling_min_14","DELTA_PAKAN_GR/EKOR_rolling_max_14","DELTA_DG_rolling_mean_3","DELTA_DG_rolling_min_3","DELTA_DG_rolling_max_3","DELTA_DG_rolling_mean_7","DELTA_DG_rolling_std_7","DELTA_DG_rolling_min_7","DELTA_DG_rolling_max_7","DELTA_DG_rolling_mean_14","DELTA_DG_rolling_std_14","DELTA_DG_rolling_min_14","PAKAN_DG_RATIO","PAKAN_ACT_GR/EK_momentum_1","PAKAN_ACT_GR/EK_acceleration","PAKAN_ACT_GR/EK_volatility_3","PAKAN_ACT_GR/EK_trend_slope_3","DG_ACT_momentum_1","DG_ACT_acceleration","DG_ACT_volatility_3","DG_ACT_trend_slope_3","MATI_momentum_1","MATI_acceleration","MATI_volatility_3","MATI_trend_slope_3","JML_DEPLESI_momentum_1","JML_DEPLESI_acceleration","JML_DEPLESI_volatility_3","ABW_ACT_acceleration","ABW_ACT_volatility_3","DELTA_PAKAN_GR/EKOR_momentum_1","DELTA_PAKAN_GR/EKOR_acceleration","DELTA_PAKAN_GR/EKOR_volatility_3","DELTA_PAKAN_GR/EKOR_trend_slope_3","FEED_EFFICIENCY_lag_1","FCR_ACT","prediction(FCR_ACT)"
32.0,8.0,274.0,4.13,3201.0,-1.9,-120.0,136.0,80.0,37.0,1.534,-0.112,408.0,453.0,17726.0,1.0,1.277,1.204,100.0,112.0,83.0,58.0,93.0,92.0,8.0,10.0,8.0,4.0,15.0,215.0,164.0,-3.0,-4.0,-4.0,0.0,-2.0,14.0,-14.0,-38.0,3.0,18.0,4.583,10.307,22.616,110.333,26.539,83.0,136.0,31.181,58.0,23.357,58.0,8.667,1.155,8.0,10.0,8.429,1.618,6.0,11.0,7.857,2.282,4.0,12.0,8.0,18.92,33.891,-4.0,1.0,-5.0,-3.0,-2.857,2.035,-5.0,0.0,-0.857,2.742,-5.0,4.0,12.333,-14.0,37.0,-2.286,30.346,-38.0,37.0,3.143,23.058,-38.0,1.309,3.0,-3.0,1.528,4.5,24.0,-5.0,2.646,26.5,0.0,2.0,2.0,-1.0,8.0,0.0,1.155,24.0,26.539,-2.0,-3.0,1.528,-0.5,0.7,1.422,1.4234585724538467
34.0,15.0,294.0,4.39,3601.0,-2.5,-154.0,169.0,90.0,68.0,1.578,-0.129,407.0,488.0,17706.0,1.0,1.301,1.233,114.0,43.0,136.0,112.0,125.0,86.0,5.0,8.0,8.0,11.0,8.0,232.0,177.0,-7.0,-5.0,-3.0,0.0,0.0,-57.0,37.0,14.0,31.0,6.0,4.041,9.866,20.809,116.0,65.338,43.0,169.0,46.468,43.0,33.701,43.0,9.333,5.132,5.0,15.0,8.857,3.078,5.0,15.0,8.357,2.977,4.0,15.0,10.408,18.618,34.564,-6.333,1.155,-7.0,-5.0,-4.857,1.574,-7.0,-3.0,-2.0,3.351,-7.0,4.0,16.0,-57.0,68.0,-3.714,45.235,-57.0,68.0,3.714,33.61,-57.0,1.101,5.0,2.0,1.155,4.0,126.0,219.0,109.586,16.5,10.0,13.0,6.807,3.5,15.0,10.0,5.132,126.0,65.338,0.0,2.0,1.155,-1.0,0.678,1.449,1.4641061954934504
1.0,16.0,16.0,0.1,18.0,3.0,7.0,22.0,13.0,8.0,0.321,0.048,0.0,0.0,17684.0,2.0,0.369,0.369,25.4,22.0,22.0,22.0,22.0,22.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,1.98,1.98,1.98,22.0,5.657,22.0,22.0,5.657,22.0,5.657,22.0,16.0,0.707,16.0,16.0,16.0,0.707,16.0,16.0,16.0,0.707,16.0,16.0,12.021,12.021,12.021,7.0,4.243,7.0,7.0,7.0,4.243,7.0,7.0,7.0,4.243,7.0,7.0,8.0,8.0,8.0,8.0,7.778,8.0,8.0,8.0,7.778,8.0,1.155,-2.8,5.7,4.031,0.05,-8.0,10.0,7.071,-3.0,1.0,-7.0,4.95,-2.5,17.0,-6.0,4.243,1.5,1.061,-6.0,4.0,2.828,-4.0,2.71,0.369,0.3908969210507611
3.0,11.0,44.0,0.36,66.0,0.0,8.0,16.0,5.0,-5.0,0.711,0.036,0.0,0.0,17656.0,2.0,0.369,0.369,25.4,14.0,22.0,22.0,22.0,22.0,17.0,16.0,16.0,16.0,16.0,16.0,16.0,1.0,7.0,7.0,7.0,7.0,-3.0,8.0,8.0,8.0,8.0,1.646,1.646,1.646,17.333,4.163,14.0,22.0,4.163,14.0,4.163,14.0,14.667,3.215,11.0,17.0,14.667,3.215,11.0,17.0,14.667,3.215,11.0,17.0,14.107,14.107,14.107,2.333,4.163,-1.0,7.0,2.333,4.163,-1.0,7.0,2.333,4.163,-1.0,7.0,0.0,-5.0,8.0,0.0,7.0,-5.0,8.0,0.0,7.0,-5.0,1.594,2.9,5.7,4.031,0.05,2.0,10.0,7.071,-3.0,-6.0,-7.0,4.95,-2.5,11.0,-6.0,4.243,1.5,1.061,-2.0,4.0,2.828,-4.0,1.727,0.747,0.7496645711873886
4.0,7.0,51.0,0.49,96.0,-1.0,6.0,22.0,3.0,-3.0,0.826,0.023,0.0,0.0,17649.0,2.0,0.369,0.369,25.4,16.0,14.0,22.0,22.0,22.0,11.0,17.0,16.0,16.0,16.0,16.0,16.0,-1.0,1.0,7.0,7.0,7.0,-5.0,-3.0,8.0,8.0,8.0,2.85,2.327,2.327,17.333,4.163,14.0,22.0,4.123,14.0,4.123,14.0,11.667,5.033,7.0,17.0,12.75,4.646,7.0,17.0,12.75,4.646,7.0,17.0,9.074,15.253,15.253,-0.667,1.528,-2.0,1.0,1.25,4.031,-2.0,7.0,1.25,4.031,-2.0,7.0,-3.667,-5.0,-3.0,-0.75,5.909,-5.0,8.0,-0.75,5.909,-5.0,1.286,2.8,-0.1,3.262,2.85,6.0,4.0,7.211,4.0,-4.0,2.0,3.606,-5.0,7.0,-4.0,5.033,6.0,3.969,-1.0,1.0,2.646,-1.5,1.339,0.849,0.8145835426053272
6.0,9.0,68.0,0.75,170.0,1.0,6.0,26.0,-4.0,-4.0,0.979,0.054,0.0,0.0,17632.0,2.0,0.369,0.369,25.4,24.0,22.0,16.0,22.0,22.0,8.0,7.0,11.0,16.0,16.0,16.0,16.0,0.0,-2.0,-1.0,7.0,7.0,-3.0,-3.0,-5.0,8.0,8.0,5.7,6.415,6.415,24.0,2.0,22.0,26.0,4.676,14.0,4.676,14.0,8.0,1.0,7.0,9.0,11.333,4.227,7.0,17.0,11.333,4.227,7.0,17.0,8.505,18.691,18.691,0.0,2.0,-2.0,2.0,1.167,3.189,-2.0,7.0,1.167,3.189,-2.0,7.0,-3.333,-4.0,-3.0,-1.667,4.803,-5.0,8.0,-1.667,4.803,-5.0,1.527,5.7,0.0,1.674,5.7,2.0,0.0,2.309,2.0,1.0,0.0,2.887,1.0,9.0,1.0,1.0,2.0,2.255,2.0,0.0,1.732,2.0,1.059,1.033,1.0141082462808026
8.0,4.0,78.0,1.01,260.0,-6.0,-13.0,34.0,-14.0,-4.0,1.068,0.002,268.0,268.0,17622.0,2.0,0.369,0.369,25.4,27.0,26.0,24.0,22.0,22.0,6.0,9.0,8.0,16.0,16.0,16.0,16.0,0.0,2.0,0.0,7.0,7.0,-6.0,-4.0,-3.0,8.0,8.0,7.503,7.435,7.223,29.0,4.359,26.0,34.0,6.8,14.0,6.312,14.0,6.333,2.517,4.0,9.0,8.857,4.22,4.0,17.0,9.75,4.652,4.0,17.0,5.033,16.466,21.317,-5.0,10.44,-17.0,2.0,-2.429,6.554,-17.0,2.0,-1.25,6.923,-17.0,7.0,-4.667,-6.0,-4.0,-4.0,1.155,-6.0,-3.0,-2.5,4.375,-6.0,0.835,-14.2,-17.1,10.772,-5.65,7.0,6.0,3.215,4.0,-2.0,1.0,2.082,-2.5,4.0,-2.0,2.517,6.5,4.072,-17.0,-15.0,10.017,-9.5,0.903,1.07,1.070809559666991
9.0,6.0,84.0,1.14,312.0,-3.0,-20.0,44.0,-11.0,3.0,1.099,-0.033,274.0,284.0,17616.0,2.0,0.579,0.369,25.4,34.0,27.0,26.0,14.0,22.0,4.0,6.0,9.0,17.0,16.0,33.0,16.0,-17.0,0.0,2.0,1.0,7.0,-4.0,-6.0,-4.0,-3.0,8.0,9.115,7.827,8.324,35.0,8.544,27.0,44.0,9.053,16.0,9.126,14.0,5.333,1.155,4.0,6.0,7.286,2.289,4.0,11.0,9.333,4.528,4.0,17.0,5.033,14.673,22.478,-8.333,8.505,-17.0,0.0,-3.714,6.651,-17.0,2.0,-2.0,6.856,-17.0,7.0,-2.333,-6.0,3.0,-3.143,2.911,-6.0,3.0,-1.889,4.485,-6.0,1.032,17.0,31.2,15.624,1.4,10.0,3.0,4.583,8.5,2.0,4.0,2.646,-0.0,6.0,2.0,1.155,10.0,8.312,9.0,26.0,13.051,-4.0,0.935,1.066,1.0667343833813914
13.0,5.0,105.0,1.68,584.0,-1.0,-42.0,57.0,-21.0,1.0,1.186,-0.035,305.0,313.0,17595.0,2.0,1.033,0.369,25.4,45.0,57.0,38.0,26.0,22.0,3.0,10.0,3.0,9.0,16.0,68.0,16.0,0.0,-1.0,-8.0,2.0,7.0,-9.0,8.0,-7.0,-4.0,8.0,4.332,15.467,16.743,53.0,6.928,45.0,57.0,11.246,27.0,14.435,14.0,6.0,3.606,3.0,10.0,5.286,2.43,3.0,10.0,8.077,4.499,3.0,17.0,4.041,11.658,27.158,-1.0,1.0,-2.0,0.0,-5.143,6.283,-17.0,0.0,-2.231,5.89,-17.0,7.0,0.0,-9.0,8.0,-2.0,6.164,-9.0,8.0,-1.846,5.352,-9.0,1.246,2.8,-2.9,5.925,4.25,12.0,24.0,16.258,-0.0,2.0,9.0,7.095,-2.5,5.0,2.0,3.606,12.0,6.928,-2.0,-3.0,4.583,-0.5,0.88,1.151,1.152919628888974
15.0,9.0,118.0,1.92,752.0,0.0,-51.0,70.0,-20.0,5.0,1.219,-0.047,320.0,338.0,17582.0,2.0,1.07,0.369,25.4,57.0,57.0,45.0,34.0,22.0,4.0,5.0,3.0,4.0,16.0,78.0,16.0,-4.0,-2.0,0.0,-17.0,7.0,-4.0,1.0,-9.0,-4.0,8.0,7.559,14.182,20.443,61.333,7.506,57.0,70.0,10.845,38.0,17.508,14.0,6.0,2.646,4.0,9.0,5.714,2.812,3.0,10.0,7.286,3.811,3.0,17.0,6.658,12.0,25.755,-1.667,2.517,-4.0,1.0,-3.143,3.671,-8.0,1.0,-2.786,5.117,-17.0,2.0,0.667,-4.0,5.0,-0.429,6.373,-9.0,8.0,-2.214,4.775,-9.0,1.219,11.4,8.5,4.937,7.15,13.0,13.0,7.234,6.5,5.0,6.0,3.0,2.0,9.0,5.0,2.646,13.0,7.506,5.0,7.0,4.041,1.5,0.858,1.172,1.1702214699587548
