TANGGAL;AGE;MATI;AFKIR;JML_DEPLESI;CUM_DEPLESI_%;STD_CUM_DEPLESI_%;PAKAN_STD_ZAK;PAKAN_STD_GR/EK;PAKAN_STD_CUM_GR/EK;PAKAN_ACT_ZAK;PAKAN_ACT_CUM_ZAK;PAKAN_ACT_GR/EK;PAKAN_CUM_GR/EK;DELTA_PAKAN_ZAK;DELTA_PAKAN_GR/EKOR;DELTA_PAKAN_CUM_GR/EKOR;ABW_STD;DG_STD;ABW_ACT;DG_ACT;DELTA_ABW;DELTA_DG;FCR_STD;FCR_ACT;DELTA_FCR;IP_STD;IP_ACT;JUMLAH_AYAM_AKHIR;JUMLAH_AYAM_AWAL;PERIODE
27/05/25;1;52;0;52;0.25;0.1;8;18;18;8;8;19;19;0;1;1;56;14;62;21;6;7;0.321;0.307;-0.014;0;0;20948;21000;13
28/05/25;2;10;0;62;0.3;0.23;9;22;40;10;18;23.9;42.9;1;2;3;73;17;82;20;9;3;0.549;0.524;-0.025;0;0;20938;21000;13
29/05/25;3;16;0;78;0.37;0.36;11;26;66;10;28;23.9;66.8;-1;-2;1;94;20;103;21;9;1;0.711;0.649;-0.062;0;0;20922;21000;13
30/05/25;4;11;0;89;0.42;0.49;13;30;96;11;39;26.3;93.1;-2;-4;-3;117;24;126;23;9;-1;0.826;0.739;-0.087;0;0;20911;21000;13
31/05/25;5;10;0;99;0.47;0.62;14;34;131;11;50;26.3;119.4;-3;-8;-12;144;27;154;28;10;1;0.914;0.776;-0.138;0;0;20901;21000;13
01/06/25;6;12;0;111;0.53;0.75;16;38;170;12;62;28.7;148.2;-4;-9;-22;174;30;182;28;8;-2;0.979;0.814;-0.165;0;0;20889;21000;13
02/06/25;7;7;0;118;0.56;0.68;18;43;210;14;76;33.5;181.7;-4;-9;-28;205;33;215;33;10;0;1.029;0.845;-0.184;270;297;20882;21000;13
03/06/25;8;3;0;121;0.58;1.01;19;45;260;18;94;43.1;224.8;-1;-2;-35;244;37;254;39;10;2;1.068;0.885;-0.183;268;295;20879;21000;13
04/06/25;9;6;0;127;0.6;1.14;22;53;312;23;117;55.1;279.9;1;2;-32;285;41;296;42;11;1;1.099;0.946;-0.153;274;297;20873;21000;13
05/06/25;10;6;0;133;0.63;1.27;23;56;372;25;142;59.9;339.8;2;4;-32;330;45;343;47;13;2;1.129;0.991;-0.138;281;302;20867;21000;13
06/06/25;11;5;0;138;0.66;1.4;26;63;435;26;168;62.3;402.1;0;-1;-33;380;49;390;47;10;-2;1.149;1.031;-0.118;289;306;20862;21000;13
07/06/25;12;16;0;154;0.73;1.53;28;68;506;26;194;62.4;464.5;-2;-6;-41;434;54;438;48;4;-6;1.169;1.06;-0.109;297;310;20846;21000;13
08/06/25;13;6;0;160;0.76;1.68;30;73;584;30;224;72;536.4;0;-1;-48;492;56;494;56;2;0;1.186;1.086;-0.1;305;318;20840;21000;13
09/06/25;14;4;0;164;0.78;1.79;33;78;668;32;256;76.8;613.2;-1;-1;-55;553;61;555;61;2;0;1.208;1.105;-0.103;313;325;20836;21000;13
10/06/25;15;5;0;169;0.8;1.92;35;84;752;36;292;86.4;699.6;1;2;-52;618;65;621;66;3;1;1.219;1.127;-0.092;320;337;20831;21000;13
