TANGGAL;AGE;MATI;AFKIR;JML_DEPLESI;CUM_DEPLESI_%;STD_CUM_DEPLESI_%;PAKAN_STD_ZAK;PAKAN_STD_GR/EK;PAKAN_STD_CUM_GR/EK;PAKAN_ACT_ZAK;PAKAN_ACT_CUM_ZAK;PAKAN_ACT_GR/EK;PAKAN_CUM_GR/EK;DELTA_PAKAN_ZAK;DELTA_PAKAN_GR/EKOR;DELTA_PAKAN_CUM_GR/EKOR;ABW_STD;DG_STD;ABW_ACT;DG_ACT;DELTA_ABW;DELTA_DG;FCR_STD;FCR_ACT;DELTA_FCR;IP_STD;IP_ACT;JUMLAH_AYAM_AKHIR;JUMLAH_AYAM_AWAL;PERIODE
29/01/24;1;23;0;23;0.115;0.1;7;18;18;5;5;12.5;13;-2;-5;-5;56;14;51;22;-5;8;0.321;0.255;-0.066;0;0;19977;20000;6
30/01/24;2;16;0;39;0.195;0.23;9;22;40;9;14;22.5;35;0;1;-5;73;17;68;17;-5;0;0.549;0.515;-0.034;0;0;19961;20000;6
31/01/24;3;12;0;51;0.255;0.36;10;26;66;9;23;22.6;58;-1;-3;-8;94;20;88;20;-6;0;0.711;0.659;-0.052;0;0;19949;20000;6
01/02/24;4;16;0;67;0.335;0.49;12;30;96;10;33;25.1;83;-2;-5;-13;117;24;98.5;11;-19;-14;0.826;0.843;0.017;0;0;19933;20000;6
02/02/24;5;12;0;79;0.395;0.62;14;34;131;11;44;27.6;110;-3;-6;-21;144;27;131;33;-13;6;0.914;0.84;-0.074;0;0;19921;20000;6
03/02/24;6;14;0;93;0.465;0.75;15;38;170;14;58;35.2;145;-1;-3;-25;174;30;154;23;-20;-7;0.979;0.942;-0.037;0;0;19907;20000;6
04/02/24;7;10;0;103;0.515;0.68;17;43;210;17;75;42.7;188;0;0;-22;205;33;189.5;36;-16;3;1.029;0.992;-0.037;270;271;19897;20000;6
05/02/24;8;11;0;114;0.57;1.01;18;45;260;19;94;47.8;236;1;3;-24;244;37;225;36;-19;-2;1.068;1.049;-0.019;268;267;19886;20000;6
06/02/24;9;15;0;129;0.645;1.14;21;53;312;22;116;55.4;291;1;2;-21;285;41;259;34;-26;-7;1.099;1.124;0.025;274;254;19871;20000;6
07/02/24;10;4;0;133;0.665;1.27;22;56;372;23;139;57.9;349;1;2;-23;330;45;308;49;-22;4;1.129;1.133;0.004;281;270;19867;20000;6
08/02/24;11;6;0;139;0.695;1.4;25;63;435;24;163;60.4;410;-1;-3;-25;380;49;360;52;-20;3;1.149;1.139;-0.01;289;285;19861;20000;6
09/02/24;12;4;0;143;0.715;1.53;27;68;506;26;189;65.5;475;-1;-3;-31;434;54;401;41;-33;-13;1.169;1.185;0.016;297;280;19857;20000;6
10/02/24;13;9;0;152;0.76;1.68;29;73;584;30;219;75.6;551;1;3;-33;492;56;452.5;52;-40;-5;1.186;1.218;0.032;305;284;19848;20000;6
11/02/24;14;16;0;168;0.84;1.79;31;78;668;31;250;78.2;629;0;0;-39;553;61;540;88;-13;27;1.208;1.165;-0.043;313;328;19832;20000;6
12/02/24;15;14;0;182;0.91;1.92;33;84;752;34;284;85.8;715;1;2;-37;618;65;591;51;-27;-14;1.219;1.21;-0.009;320;323;19818;20000;6
13/02/24;16;8;0;190;0.95;2.06;36;90;841;36;320;90.9;805;0;1;-36;685;68;651;60;-34;-8;1.229;1.237;0.008;327;326;19810;20000;6
14/02/24;17;16;0;206;1.03;2.18;38;96;936;38;358;96;901;0;0;-35;756;71;717;66;-39;-5;1.239;1.257;0.018;334;332;19794;20000;6
15/02/24;18;6;0;212;1.06;2.31;40;102;1036;40;398;101.1;1003;0;-1;-33;830;74;788;71;-42;-3;1.249;1.273;0.024;343;340;19788;20000;6
16/02/24;19;13;0;225;1.125;2.44;42;106;1142;42;440;106.2;1109;0;0;-33;908;77;866;78;-42;1;1.259;1.281;0.022;378;352;19775;20000;6
17/02/24;20;8;0;233;1.165;2.57;45;114;1256;46;486;116.4;1225;1;2;-31;967;80;948;82;-19;2;1.272;1.292;0.02;383;363;19767;20000;6
18/02/24;21;8;0;241;1.205;2.7;47;120;1382;48;534;121.5;1347;1;1;-35;1069;82;1039;91;-30;9;1.294;1.296;0.002;387;377;19759;20000;6
19/02/24;22;10;0;251;1.255;2.83;50;126;1517;50;584;126.6;1473;0;1;-44;1153;84;1122;83;-31;-1;1.137;1.313;0.176;391;384;19749;20000;6
20/02/24;23;5;0;256;1.28;2.96;52;132;1656;54;638;136.8;1610;2;5;-46;1239;86;1208;86;-31;0;1.337;1.333;-0.004;394;389;19744;20000;6
21/02/24;24;12;0;268;1.34;3.09;54;138;1803;54;692;136.8;1747;0;-1;-56;1327;88;1310;102;-17;14;1.36;1.334;-0.026;397;404;19732;20000;6
22/02/24;25;8;0;276;1.38;3.22;57;144;1958;57;749;144.5;1891;0;0;-67;1418;90;1428;118;10;28;1.382;1.324;-0.058;400;425;19724;20000;6
23/02/24;26;10;0;286;1.43;3.35;59;150;2120;60;809;152.2;2043;1;2;-77;1510;92;1493;65;-17;-27;1.405;1.368;-0.037;402;414;19714;20000;6
24/02/24;27;15;0;301;1.505;3.4;61;156;2285;62;871;157.4;2201;1;1;-84;1604;94;1580;87;-24;-7;1.426;1.393;-0.033;404;414;19699;20000;6
25/02/24;28;15;0;316;1.58;3.61;64;162;2455;63;934;160;2361;-1;-2;-94;1698;95;1667;87;-31;-8;1.446;1.416;-0.03;405;414;19684;20000;6
26/02/24;29;15;0;331;1.655;3.74;66;168;2635;58;992;147.4;2508;-8;-21;-127;1794;96;1831;164;37;68;1,470;1.37;-1468.63;406;453;19669;20000;6
