TANGGAL;AGE;MATI;AFKIR;JML_DEPLESI;CUM_DEPLESI_%;STD_CUM_DEPLESI_%;PAKAN_STD_ZAK;PAKAN_STD_GR/EK;PAKAN_STD_CUM_GR/EK;PAKAN_ACT_ZAK;PAKAN_ACT_CUM_ZAK;PAKAN_ACT_GR/EK;PAKAN_CUM_GR/EK;DELTA_PAKAN_ZAK;DELTA_PAKAN_GR/EKOR;DELTA_PAKAN_CUM_GR/EKOR;ABW_STD;DG_STD;ABW_ACT;DG_ACT;DELTA_ABW;DELTA_DG;FCR_STD;FCR_ACT;DELTA_FCR;IP_STD;IP_ACT;JUMLAH_AYAM_AKHIR;JUMLAH_AYAM_AWAL;PERIODE
27/03/25;1;46;0;46;0.23;0.1;7;18;18;8;8;20;20;1;2;2;56;14;67;26;11;12;0.321;0.28;-0.041;0;0;19954;20000;12
28/03/25;2;34;0;80;0.4;0.23;9;22;40;9;17;22.6;42.6;0;1;3;73;17;85;18;12;1;0.549;0.475;-0.074;0;0;19920;20000;12
29/03/25;3;34;0;114;0.57;0.36;10;26;66;9;26;22.6;65.2;-1;-3;-1;94;20;103;18;9;-2;0.711;0.6;-0.111;0;0;19886;20000;12
30/03/25;4;15;0;129;0.645;0.49;12;30;96;10;36;25.2;90.4;-2;-5;-6;117;24;131;28;14;4;0.826;0.706;-0.12;0;0;19871;20000;12
31/03/25;5;11;0;140;0.7;0.62;14;34;131;11;47;27.7;118.1;-3;-6;-13;144;27;158;27;14;0;0.914;0.782;-0.132;0;0;19860;20000;12
01/04/25;6;14;0;154;0.77;0.75;15;38;170;14;61;35.3;153.3;-1;-3;-17;174;30;188;30;14;0;0.979;0.889;-0.09;0;0;19846;20000;12
02/04/25;7;14;0;168;0.84;0.68;17;43;210;15;76;37.8;191.2;-2;-5;-19;205;33;222;34;17;1;1.029;0.938;-0.091;270;306;19832;20000;12
03/04/25;8;11;0;179;0.895;1.01;18;45;260;18;94;45.4;236.6;0;0;-23;244;37;260;38;16;1;1.068;0.994;-0.074;268;302;19821;20000;12
04/04/25;9;13;0;192;0.96;1.14;21;53;312;21;115;53;289.6;0;0;-22;285;41;300;40;15;-1;1.099;1.027;-0.072;274;300;19808;20000;12
05/04/25;10;4;0;196;0.98;1.27;22;56;372;22;137;55.5;345.1;0;0;-27;330;45;345;45;15;0;1.129;1.051;-0.078;281;303;19804;20000;12
06/04/25;11;10;0;206;1.03;1.4;25;63;435;25;162;63.2;408.3;0;0;-27;380;49;394;49;14;0;1.149;1.077;-0.072;289;309;19794;20000;12
07/04/25;12;8;0;214;1.07;1.53;27;68;506;28;190;70.8;479;1;3;-27;434;54;444;50;10;-4;1.169;1.097;-0.072;297;313;19786;20000;12
08/04/25;13;14;0;228;1.14;1.68;29;73;584;30;220;75.9;554.9;1;3;-29;492;56;497;53;5;-3;1.186;1.114;-0.072;305;319;19772;20000;12
09/04/25;14;2;0;230;1.15;1.79;31;78;668;32;252;80.9;635.8;1;3;-32;553;61;561;64;8;3;1.208;1.147;-0.061;313;328;19770;20000;12
10/04/25;15;5;0;235;1.175;1.92;33;84;752;34;286;86;721.8;1;2;-30;618;65;626;65;8;0;1.219;1.156;-0.063;320;338;19765;20000;12
11/04/25;16;9;0;244;1.22;2.06;36;90;841;36;322;91.1;812.9;0;1;-28;685;68;685;59;0;-9;1.229;1.156;-0.073;327;344;19756;20000;12
12/04/25;17;8;0;252;1.26;2.18;38;96;936;38;360;96.2;909.2;0;0;-27;756;71;754;69;-2;-2;1.239;1.173;-0.066;334;353;19748;20000;12
13/04/25;18;10;0;262;1.31;2.31;40;102;1036;40;400;101.3;1010.5;0;-1;-25;830;74;826;72;-4;-2;1.249;1.193;-0.056;343;363;19738;20000;12
14/04/25;19;6;0;268;1.34;2.44;42;106;1142;42;442;106.4;1116.9;0;0;-25;908;77;899;73;-9;-4;1.259;1.205;-0.054;378;371;19732;20000;12
15/04/25;20;10;0;278;1.39;2.57;45;114;1256;45;487;114.1;1231;0;0;-25;967;80;972;73;5;-7;1.272;1.219;-0.053;383;377;19722;20000;12
16/04/25;21;3;0;281;1.405;2.7;47;120;1382;47;534;119.2;1350.2;0;-1;-32;1069;82;1049;77;-20;-5;1.294;1.249;-0.045;387;381;19719;20000;12
17/04/25;22;7;0;288;1.44;2.83;50;126;1517;51;585;129.4;1479.5;1;3;-37;1153;84;1131;82;-22;-2;1.137;1.277;0.14;391;446;19712;20000;12
18/04/25;23;10;0;298;1.49;2.96;52;132;1656;54;639;137;1616.6;2;5;-39;1239;86;1213;82;-26;-4;1.337;1.284;-0.053;394;389;19702;20000;12
19/04/25;24;9;0;307;1.535;3.09;54;138;1803;57;696;144.7;1761.3;3;7;-42;1327;88;1299;86;-28;-2;1.36;1.303;-0.057;397;392;19693;20000;12
20/04/25;25;11;0;318;1.59;3.22;57;144;1958;58;754;147.3;1908.6;1;3;-49;1418;90;1389;90;-29;0;1.382;1.326;-0.056;400;396;19682;20000;12
21/04/25;26;14;0;332;1.66;3.35;59;150;2120;59;813;150;2058.6;0;0;-61;1510;92;1480;91;-30;-1;1.405;1.353;-0.052;402;398;19668;20000;12
22/04/25;27;7;0;339;1.695;3.4;61;156;2285;58;871;147.5;2206.1;-3;-8;-79;1604;94;1574;94;-30;0;1.426;1.37;-0.056;404;402;19661;20000;12
23/04/25;28;7;0;346;1.73;3.61;64;162;2455;58;929;147.6;2353.7;-6;-14;-101;1698;95;1672;98;-26;3;1.446;1.377;-0.069;405;406;19654;20000;12
24/04/25;29;0;0;346;1.73;3.74;66;168;2635;60;989;152.6;2506.3;-6;-15;-129;1794;96;1795;100;1;4;1.47;1.387;-0.083;406;414;19654;20000;12
25/04/25;30;0;0;346;1.73;3.87;68;173;2818;61;1050;155.2;2661.5;-7;-18;-156;1891;97;1895;100;4;3;1.491;1.402;-0.089;407;416;19654;20000;12
26/04/25;31;0;0;346;1.73;4;70;178;3004;63;1113;160.3;2821.8;-7;-18;-182;1989;98;1997;102;8;4;1.511;1.403;-0.108;408;419;19654;20000;12
27/04/25;32;0;0;346;1.73;4.13;72;183;3201;65;1178;165.4;2987.1;-7;-18;-214;2087;99;2090;93;3;-6;1.534;1.34;-0.194;408;418;19654;20000;12
28/04/25;33;0;0;346;1.73;4.26;74;188;3403;66;1244;167.9;3155.1;-8;-20;-248;2187;100;2195;105;8;5;1.556;1.353;-0.203;408;420;19654;20000;12
29/04/25;34;0;0;346;1.73;4.39;75;192;3504;67;1311;170.4;3325.5;-8;-22;-178;2289;101;2287;92;-2;-9;1.578;1.454;-0.124;407;419;19654;20000;12
30/04/25;35;0;0;346;1.73;4.52;78;199;3601;70;1381;178.1;3503.6;-8;-21;-97;2390;101;2407;120;17;19;1.6;1.456;-0.144;407;422;19654;20000;12
