TANGGAL;AGE;MATI;AFKIR;JML_DEPLESI;CUM_DEPLESI_%;STD_CUM_DEPLESI_%;PAKAN_STD_ZAK;PAKAN_STD_GR/EK;PAKAN_STD_CUM_GR/EK;PAKAN_ACT_ZAK;PAKAN_ACT_CUM_ZAK;PAKAN_ACT_GR/EK;PAKAN_CUM_GR/EK;DELTA_PAKAN_ZAK;DELTA_PAKAN_GR/EKOR;DELTA_PAKAN_CUM_GR/EKOR;ABW_STD;DG_STD;ABW_ACT;DG_ACT;DELTA_ABW;DELTA_DG;FCR_STD;FCR_ACT;DELTA_FCR;IP_STD;IP_ACT;JUMLAH_AYAM_AKHIR;JUMLAH_AYAM_AWAL;PERIODE
15/12/24;1;15;0;15;0.075;0.1;7;18;18;7;7;17.5;17.5;0;0;0;56;14;54;21;-2;7;0.321;0.324;0.003;0;0;19985;20000;11
16/12/24;2;13;0;28;0.14;0.23;9;22;40;8;15;20;37.5;-1;-2;-2;73;17;69;15;-4;-2;0.549;0.544;-0.005;0;0;19972;20000;11
17/12/24;3;14;0;42;0.21;0.36;10;26;66;10;25;25.1;62.6;0;-1;-3;94;20;90;21;-4;1;0.711;0.695;-0.016;0;0;19958;20000;11
18/12/24;4;15;0;57;0.285;0.49;12;30;96;10;35;25.1;87.7;-2;-5;-8;117;24;110;20;-7;-4;0.826;0.797;-0.029;0;0;19943;20000;11
19/12/24;5;15;0;72;0.36;0.62;14;34;131;12;47;30.1;117.8;-2;-4;-13;144;27;135;25;-9;-2;0.914;0.872;-0.042;0;0;19928;20000;11
20/12/24;6;10;0;82;0.41;0.75;15;38;170;14;61;35.1;152.9;-1;-3;-17;174;30;166;31;-8;1;0.979;0.921;-0.058;0;0;19918;20000;11
21/12/24;7;0;0;82;0.41;0.68;17;43;210;16;77;40.2;193.1;-1;-3;-17;205;33;201;35;-4;2;1.029;0.961;-0.068;270;298;19918;20000;11
22/12/24;8;1;0;83;0.415;1.01;18;45;260;18;95;45.2;238.3;0;0;-22;244;37;237;36;-7;-1;1.068;1.005;-0.063;268;293;19917;20000;11
23/12/24;9;0;0;83;0.415;1.14;21;53;312;20;115;50.2;288.5;-1;-3;-24;285;41;278;41;-7;0;1.099;1.038;-0.061;274;296;19917;20000;11
24/12/24;10;3;0;86;0.43;1.27;22;56;372;22;137;55.2;343.7;0;-1;-28;330;45;323;45;-7;0;1.129;1.064;-0.065;281;302;19914;20000;11
25/12/24;11;2;0;88;0.44;1.4;25;63;435;24;161;60.3;404;-1;-3;-31;380;49;373;50;-7;1;1.149;1.083;-0.066;289;312;19912;20000;11
26/12/24;12;4;0;92;0.46;1.53;27;68;506;25;186;62.8;466.8;-2;-5;-39;434;54;415;42;-19;-12;1.169;1.125;-0.044;297;306;19908;20000;11
27/12/24;13;4;0;96;0.48;1.68;29;73;584;27;213;67.8;534.6;-2;-5;-49;492;56;454;39;-38;-17;1.186;1.177;-0.009;305;295;19904;20000;11
28/12/24;14;5;0;101;0.505;1.79;31;78;668;30;243;75.4;610;-1;-3;-58;553;61;515;61;-38;0;1.208;1.184;-0.024;313;309;19899;20000;11
29/12/24;15;3;0;104;0.52;1.92;33;84;752;32;275;80.4;690.4;-1;-4;-62;618;65;577;62;-41;-3;1.219;1.197;-0.022;320;320;19896;20000;11
30/12/24;16;5;0;109;0.545;2.06;36;90;841;34;309;85.5;775.8;-2;-5;-65;685;68;642;65;-43;-3;1.229;1.208;-0.021;327;330;19891;20000;11
31/12/24;17;7;0;116;0.58;2.18;38;96;936;38;347;95.6;871.4;0;0;-65;756;71;714;72;-42;1;1.239;1.22;-0.019;334;342;19884;20000;11
01/01/25;18;17;0;133;0.665;2.31;41;102;1036;40;387;100.7;972.1;-1;-1;-64;830;74;781;67;-49;-7;1.249;1.245;-0.004;343;346;19867;20000;11
02/01/25;19;38;0;171;0.855;2.44;42;106;1142;40;427;100.9;1072.9;-2;-5;-69;908;77;847;66;-61;-11;1.259;1.267;0.008;378;349;19829;20000;11
03/01/25;20;56;0;227;1.135;2.57;45;114;1256;38;465;96.1;1169;-7;-18;-87;967;80;906;59;-61;-21;1.272;1.29;0.018;383;347;19773;20000;11
04/01/25;21;45;0;272;1.36;2.7;47;120;1382;38;503;96.3;1265.3;-9;-24;-117;1069;82;973;67;-96;-15;1.294;1.3;0.006;387;351;19728;20000;11
05/01/25;22;16;0;288;1.44;2.83;50;126;1517;40;543;101.5;1366.8;-10;-25;-150;1153;84;1054;81;-99;-3;1.137;1.297;0.16;391;364;19712;20000;11
06/01/25;23;18;0;306;1.53;2.96;52;132;1656;44;587;111.7;1478.5;-8;-20;-177;1239;86;1123;69;-116;-17;1.337;1.317;-0.02;394;365;19694;20000;11
