TANGGAL;AGE;MATI;AFKIR;JML_DEPLESI;CUM_DEPLESI_%;STD_CUM_DEPLESI_%;PAKAN_STD_ZAK;PAKAN_STD_GR/EK;PAKAN_STD_CUM_GR/EK;PAKAN_ACT_ZAK;PAKAN_ACT_CUM_ZAK;PAKAN_ACT_GR/EK;PAKAN_CUM_GR/EK;DELTA_PAKAN_ZAK;DELTA_PAKAN_GR/EKOR;DELTA_PAKAN_CUM_GR/EKOR;ABW_STD;DG_STD;ABW_ACT;DG_ACT;DELTA_ABW;DELTA_DG;FCR_STD;FCR_ACT;DELTA_FCR;IP_STD;IP_ACT;JUMLAH_AYAM_AKHIR;JUMLAH_AYAM_AWAL;PERIODE
19/05/25;1;45;0;45;0.22;0.1;7;18;18;9;9;22;22;2;4;4;56;14;64;20;8;6;0.321;0.343;0.022;0;0;20455;20500;14
20/05/25;2;25;0;70;0.34;0.23;9;22;40;10;19;24.5;46.3;1;2.5;6.3;73;17;83;19;10;2;0.549;0.558;0.009;0;0;20430;20500;14
21/05/25;3;15;0;85;0.41;0.36;11;26;66;10;29;24.5;70.7;-1;-1.5;4.7;94;20;103;20;9;0;0.711;0.687;-0.024;0;0;20415;20500;14
22/05/25;4;12;0;97;0.47;0.49;12;30;96;12;41;29.4;100;0;-0.6;4;117;24;127;24;10;0;0.826;0.787;-0.039;0;0;20403;20500;14
23/05/25;5;13;0;110;0.54;0.62;14;34;131;13;54;31.9;131.7;-1;-2.1;0.7;144;27;157;30;13;3;0.914;0.839;-0.075;0;0;20390;20500;14
24/05/25;6;6;0;116;0.57;0.75;16;38;170;14;68;34.3;165.9;-2;-3.7;-4.1;174;30;188;31;14;1;0.979;0.882;-0.097;0;0;20384;20500;14
25/05/25;7;12;0;128;0.62;0.68;18;43;210;16;84;39.3;204.9;-2;-3.7;-5.1;205;33;223;35;18;2;1.029;0.919;-0.11;270;345;20372;20500;14
26/05/25;8;11;0;139;0.68;1.01;18;45;260;18;102;44.2;248.8;0;-0.8;-11.2;244;37;263;40;19;3;1.068;0.946;-0.122;268;345;20361;20500;14
27/05/25;9;3;0;142;0.69;1.14;22;53;312;22;124;54;302.4;0;1;-9.6;285;41;306;43;21;2;1.099;0.988;-0.111;274;342;20358;20500;14
28/05/25;10;6;0;148;0.72;1.27;23;56;372;23;147;56.5;358.5;0;0.5;-13.5;330;45;352;46;22;1;1.129;1.019;-0.11;281;343;20352;20500;14
