TANGGAL;AGE;MATI;AFKIR;JML_DEPLESI;CUM_DEPLESI_%;STD_CUM_DEPLESI_%;PAKAN_STD_ZAK;PAKAN_STD_GR/EK;PAKAN_STD_CUM_GR/EK;PAKAN_ACT_ZAK;PAKAN_ACT_CUM_ZAK;PAKAN_ACT_GR/EK;PAKAN_CUM_GR/EK;DELTA_PAKAN_ZAK;DELTA_PAKAN_GR/EKOR;DELTA_PAKAN_CUM_GR/EKOR;ABW_STD;DG_STD;ABW_ACT;DG_ACT;DELTA_ABW;DELTA_DG;FCR_STD;FCR_ACT;DELTA_FCR;IP_STD;IP_ACT;JUMLAH_AYAM_AKHIR;JUMLAH_AYAM_AWAL;PERIODE
10/05/24;1;8;0;8;0.04;0.1;8;18;18;8;8;19;19;0;1;1;56;14;60;22;4;8;0.321;0.317;-0.004;0;0;20992;21000;8
11/05/24;2;2;0;10;0.05;0.23;9;22;40;10;18;23.8;42.8;1;2;3;73;17;78;18;5;1;0.549;0.549;0;0;0;20990;21000;8
12/05/24;3;11;0;21;0.1;0.36;11;26;66;11;29;26.2;69;0;0;3;94;20;97;19;3;-1;0.711;0.712;0.001;0;0;20979;21000;8
13/05/24;4;4;0;25;0.12;0.49;13;30;96;13;42;31;100;0;1;4;117;24;121;24;4;0;0.826;0.827;0.001;0;0;20975;21000;8
14/05/24;5;7;0;32;0.15;0.62;14;34;131;14;56;33.4;133.4;0;-1;2;144;27;148;27;4;0;0.914;0.901;-0.013;0;0;20968;21000;8
15/05/24;6;10;0;42;0.2;0.75;16;38;170;16;72;38.2;171.6;0;0;2;174;30;178;30;4;0;0.979;0.964;-0.015;0;0;20958;21000;8
16/05/24;7;3;0;45;0.21;0.68;18;43;210;18;90;42.9;214.5;0;0;5;205;33;212;34;7;1;1.029;1.012;-0.017;270;299;20955;21000;8
17/05/24;8;4;0;49;0.23;1.01;19;45;260;20;110;47.7;262.3;1;3;2;244;37;250;38;6;1;1.068;1.049;-0.019;268;297;20951;21000;8
18/05/24;9;4;0;53;0.25;1.14;22;53;312;22;132;52.5;314.8;0;0;3;285;41;293;43;8;2;1.099;1.074;-0.025;274;302;20947;21000;8
19/05/24;10;4;0;57;0.27;1.27;23;56;372;24;156;57.3;372.1;1;1;0;330;45;335;42;5;-3;1.129;1.111;-0.018;281;301;20943;21000;8
20/05/24;11;1;0;58;0.28;1.4;26;63;435;26;182;62.1;434.2;0;-1;-1;380;49;384;49;4;0;1.149;1.131;-0.018;289;308;20942;21000;8
21/05/24;12;7;0;65;0.31;1.53;28;68;506;28;210;66.9;501;0;-1;-5;434;54;424;40;-10;-14;1.169;1.182;0.013;297;298;20935;21000;8
22/05/24;13;3;0;68;0.32;1.68;31;73;584;30;240;71.7;572.7;-1;-1;-11;492;56;482;58;-10;2;1.186;1.188;0.002;305;311;20932;21000;8
23/05/24;14;8;0;76;0.36;1.79;33;78;668;32;272;76.5;649.2;-1;-2;-19;553;61;552;70;-1;9;1.208;1.176;-0.032;313;334;20924;21000;8
