TANGGAL;AGE;MATI;AFKIR;JML_DEPLESI;CUM_DEPLESI_%;STD_CUM_DEPLESI_%;PAKAN_STD_ZAK;PAKAN_STD_GR/EK;PAKAN_STD_CUM_GR/EK;PAKAN_ACT_ZAK;PAKAN_ACT_CUM_ZAK;PAKAN_ACT_GR/EK;PAKAN_CUM_GR/EK;DELTA_PAKAN_ZAK;DELTA_PAKAN_GR/EKOR;DELTA_PAKAN_CUM_GR/EKOR;ABW_STD;DG_STD;ABW_ACT;DG_ACT;DELTA_ABW;DELTA_DG;FCR_STD;FCR_ACT;DELTA_FCR;IP_STD;IP_ACT;JUMLAH_AYAM_AKHIR;JUMLAH_AYAM_AWAL;PERIODE
02/09/24;1;20;0;20;0.1;0.1;8;18;18;8;8;19;19;0;1;1;56;14;60;22;4;8;0.321;0.317;-0.004;0;0;20980;21000;9
03/09/24;2;28;0;48;0.23;0.23;9;22;40;10;18;23.9;42.9;1;2;3;73;17;80;20;7;3;0.549;0.536;-0.013;0;0;20952;21000;9
04/09/24;3;13;0;61;0.29;0.36;11;26;66;11;29;26.3;69.2;0;0;3;94;20;99;19;5;-1;0.711;0.699;-0.012;0;0;20939;21000;9
05/09/24;4;12;0;73;0.35;0.49;13;30;96;12;41;28.7;97.8;-1;-1;2;117;24;121;22;4;-2;0.826;0.809;-0.017;0;0;20927;21000;9
06/09/24;5;8;0;81;0.39;0.62;14;34;131;14;55;33.5;131.3;0;-1;0;144;27;150;29;6;2;0.914;0.875;-0.039;0;0;20919;21000;9
07/09/24;6;8;0;89;0.42;0.75;16;38;170;16;71;38.3;169.6;0;0;0;174;30;181;31;7;1;0.979;0.937;-0.042;0;0;20911;21000;9
08/09/24;7;17;0;106;0.5;0.68;18;43;210;18;89;43.1;212.6;0;0;3;205;33;216;35;11;2;1.029;0.984;-0.045;270;312;20894;21000;9
09/09/24;8;4;0;110;0.52;1.01;19;45;260;20;109;47.9;260.5;1;3;1;244;37;253;37;9;0;1.068;1.03;-0.038;268;305;20890;21000;9
10/09/24;9;4;0;114;0.54;1.14;22;53;312;21;130;50.3;310.8;-1;-3;-1;285;41;293;40;8;-1;1.099;1.061;-0.038;274;305;20886;21000;9
11/09/24;10;1;0;115;0.55;1.27;23;56;372;24;154;57.5;368.2;1;1;-4;330;45;337;44;7;-1;1.129;1.093;-0.036;281;307;20885;21000;9
12/09/24;11;3;0;118;0.56;1.4;26;63;435;26;180;62.3;430.5;0;-1;-4;380;49;385;48;5;-1;1.149;1.118;-0.031;289;311;20882;21000;9
13/09/24;12;3;0;121;0.58;1.53;28;68;506;29;209;69.4;499.9;1;1;-6;434;54;437;52;3;-2;1.169;1.144;-0.025;297;316;20879;21000;9
14/09/24;13;4;0;125;0.6;1.68;30;73;584;31;240;74.3;574.2;1;1;-10;492;56;489;52;-3;-4;1.186;1.174;-0.012;305;318;20875;21000;9
15/09/24;14;5;0;130;0.62;1.79;33;78;668;32;272;76.7;650.9;-1;-1;-17;553;61;550;61;-3;0;1.208;1.183;-0.025;313;330;20870;21000;9
16/09/24;15;6;0;136;0.65;1.92;35;84;752;35;307;83.9;734.7;0;0;-17;618;65;620;70;2;5;1.219;1.185;-0.034;320;347;20864;21000;9
17/09/24;16;6;0;142;0.68;2.06;38;90;841;38;345;91.1;825.8;0;1;-15;685;68;687;67;2;-1;1.229;1.202;-0.027;327;355;20858;21000;9
18/09/24;17;5;0;147;0.7;2.18;40;96;936;40;385;95.9;921.7;0;0;-14;756;71;760;73;4;2;1.239;1.213;-0.026;334;366;20853;21000;9
19/09/24;18;5;0;152;0.72;2.31;43;102;1036;43;428;103.1;1024.9;0;1;-11;830;74;834;74;4;0;1.249;1.229;-0.02;343;374;20848;21000;9
20/09/24;19;5;0;157;0.75;2.44;44;106;1142;45;473;107.9;1132.8;1;2;-9;908;77;913;79;5;2;1.259;1.241;-0.018;378;384;20843;21000;9
21/09/24;20;5;0;162;0.77;2.57;48;114;1256;48;521;115.2;1248;0;1;-8;967;80;998;85;31;5;1.272;1.25;-0.022;383;396;20838;21000;9
22/09/24;21;5;0;167;0.8;2.7;50;120;1382;50;571;120;1368;0;0;-14;1069;82;1081;83;12;1;1.294;1.265;-0.029;387;404;20833;21000;9
23/09/24;22;7;0;174;0.83;2.83;52;126;1517;52;623;124.8;1492.8;0;-1;-24;1153;84;1165;84;12;0;1.137;1.281;0.144;391;410;20826;21000;9
24/09/24;23;5;0;179;0.85;2.96;55;132;1656;55;678;132.1;1624.9;0;0;-31;1239;86;1254;89;15;3;1.337;1.296;-0.041;394;417;20821;21000;9
25/09/24;24;4;0;183;0.87;3.09;57;138;1803;55;733;132.1;1757;-2;-6;-46;1327;88;1343;89;16;1;1.36;1.308;-0.052;397;424;20817;21000;9
26/09/24;25;6;0;189;0.9;3.22;60;144;1958;62;795;149;1906;2;5;-52;1418;90;1437;94;19;4;1.382;1.326;-0.056;400;429;20811;21000;9
27/09/24;26;7;0;196;0.93;3.35;62;150;2120;62;857;149;2055;0;-1;-65;1510;92;1537;100;27;8;1.405;1.337;-0.068;402;438;20804;21000;9
28/09/24;27;15;0;211;1;3.4;65;156;2285;65;922;156.3;2211.3;0;0;-74;1604;94;1634;97;30;3;1.426;1.353;-0.073;404;443;20789;21000;9
29/09/24;28;8;0;219;1.04;3.61;67;162;2455;62;984;149.2;2360.5;-5;-13;-94;1698;95;1733;99;35;4;1.446;1.362;-0.084;405;450;20781;21000;9
30/09/24;29;3;0;222;1.06;3.74;70;168;2635;61;1045;146.8;2507.3;-9;-21;-128;1794;96;1833;100;39;4;1.47;1.368;-0.102;406;457;20778;21000;9
01/10/24;30;8;0;230;1.1;3.87;72;173;2818;63;1108;151.7;2658.9;-9;-21;-159;1891;97;1931;98;40;1;1.491;1.377;-0.114;407;462;20770;21000;9
02/10/24;31;9;0;239;1.14;4;74;178;3004;65;1173;156.5;2815.5;-9;-21;-188;1989;98;2033;102;44;4;1.511;1.385;-0.126;408;468;20761;21000;9
03/10/24;32;10;0;249;1.19;4.13;76;183;3201;67;1231;161.4;2976.9;-18;-43;-246;2087;99;2133;100;46;1;1.534;1.396;-0.138;408;475;20751;21000;9
04/10/24;33;10;0;259;1.23;4.26;78;188;3403;69;1275;166.3;3143.3;-34;-82;-342;2187;100;2233;100;46;0;1.556;1.408;-0.148;408;487;20741;21000;9
