TANGGAL;AGE;MATI;AFKIR;JML_DEPLESI;CUM_DEPLESI_%;STD_CUM_DEPLESI_%;PAKAN_STD_ZAK;PAKAN_STD_GR/EK;PAKAN_STD_CUM_GR/EK;PAKAN_ACT_ZAK;PAKAN_ACT_CUM_ZAK;PAKAN_ACT_GR/EK;PAKAN_CUM_GR/EK;DELTA_PAKAN_ZAK;DELTA_PAKAN_GR/EKOR;DELTA_PAKAN_CUM_GR/EKOR;ABW_STD;DG_STD;ABW_ACT;DG_ACT;DELTA_ABW;DELTA_DG;FCR_STD;FCR_ACT;DELTA_FCR;IP_STD;IP_ACT;JUMLAH_AYAM_AKHIR;JUMLAH_AYAM_AWAL;PERIODE
01/09/23;1;21;0;21;0.105;0.1;7;18;18;7;7;17.5;17.5;0;0;0;56;14;55;22;-1;8;0.321;0.318;-0.003;0;0;19979;20000;4
02/09/23;2;25;0;46;0.23;0.23;9;22;40;6;13;15;32.5;-3;-7;-7;73;17;68;13;-5;-4;0.549;0.479;-0.07;0;0;19954;20000;4
03/09/23;3;17;0;63;0.315;0.36;10;26;66;6;19;15;47.6;-4;-11;-18;94;20;86;18;-8;-2;0.711;0.554;-0.157;0;0;19937;20000;4
04/09/23;4;12;0;75;0.375;0.49;12;30;96;8;27;20.1;67.7;-4;-10;-28;117;24;98;12;-19;-12;0.826;0.691;-0.135;0;0;19925;20000;4
05/09/23;5;11;0;86;0.43;0.62;14;34;131;9;36;22.6;90.3;-5;-11;-41;144;27;117;19;-27;-8;0.914;0.773;-0.141;0;0;19914;20000;4
06/09/23;6;12;0;98;0.49;0.75;15;38;170;9;45;22.6;112.9;-6;-15;-57;174;30;136;19;-38;-11;0.979;0.831;-0.148;0;0;19902;20000;4
07/09/23;7;11;0;109;0.545;0.68;17;43;210;14;59;35.2;148.1;-3;-8;-62;205;33;161;25;-44;-8;1.029;0.921;-0.108;270;248;19891;20000;4
08/09/23;8;12;0;121;0.605;1.01;18;45;260;15;74;37.7;185.8;-3;-7;-74;244;37;187;26;-57;-11;1.068;0.995;-0.073;268;234;19879;20000;4
09/09/23;9;7;0;128;0.64;1.14;21;53;312;17;91;42.8;228.6;-4;-10;-83;285;41;220;33;-65;-8;1.099;1.041;-0.058;274;233;19872;20000;4
10/09/23;10;8;0;136;0.68;1.27;22;56;372;16;107;40.3;268.8;-6;-16;-103;330;45;257;37;-73;-8;1.129;1.048;-0.081;281;244;19864;20000;4
11/09/23;11;11;0;147;0.735;1.4;25;63;435;21;128;52.9;321.7;-4;-10;-113;380;49;292;35;-88;-14;1.149;1.104;-0.045;289;239;19853;20000;4
12/09/23;12;11;0;158;0.79;1.53;27;68;506;22;150;55.4;377.2;-5;-13;-129;434;54;335;43;-99;-11;1.169;1.128;-0.041;297;246;19842;20000;4
13/09/23;13;10;0;168;0.84;1.68;29;73;584;28;178;70.6;447.8;-1;-2;-136;492;56;386;51;-106;-5;1.186;1.163;-0.023;305;253;19832;20000;4
14/09/23;14;16;0;184;0.92;1.79;31;78;668;22;200;55.5;503.3;-9;-22;-165;553;61;431;45;-122;-16;1.208;1.171;-0.037;313;260;19816;20000;4
15/09/23;15;15;0;199;0.995;1.92;33;84;752;30;230;75.8;579;-3;-8;-173;618;65;488;57;-130;-8;1.219;1.19;-0.029;320;271;19801;20000;4
16/09/23;16;20;0;219;1.095;2.06;36;90;841;32;262;80.9;659.9;-4;-9;-181;685;68;543;55;-142;-13;1.229;1.22;-0.009;327;275;19781;20000;4
17/09/23;17;15;0;234;1.17;2.18;38;96;936;34;296;86;745.9;-4;-10;-190;756;71;604;61;-152;-10;1.239;1.24;0.001;334;283;19766;20000;4
18/09/23;18;12;0;246;1.23;2.31;40;102;1036;32;328;81;826.9;-8;-21;-209;830;74;680;76;-150;2;1.249;1.221;-0.028;343;306;19754;20000;4
19/09/23;19;8;0;254;1.27;2.44;42;106;1142;38;366;96.2;923.1;-4;-10;-219;908;77;742;62;-166;-15;1.259;1.249;-0.01;378;309;19746;20000;4
20/09/23;20;14;0;268;1.34;2.57;45;114;1256;40;406;101.4;1024.5;-5;-13;-231;967;80;802;60;-165;-20;1.272;1.283;0.011;383;308;19732;20000;4
21/09/23;21;15;0;283;1.415;2.7;47;120;1382;38;444;96.4;1120.8;-9;-24;-261;1069;82;883;81;-186;-1;1.294;1.275;-0.019;387;325;19717;20000;4
