TANGGAL;AGE;MATI;AFKIR;JML_DEPLESI;CUM_DEPLESI_%;STD_CUM_DEPLESI_%;PAKAN_STD_ZAK;PAKAN_STD_GR/EK;PAKAN_STD_CUM_GR/EK;PAKAN_ACT_ZAK;PAKAN_ACT_CUM_ZAK;PAKAN_ACT_GR/EK;PAKAN_CUM_GR/EK;DELTA_PAKAN_ZAK;DELTA_PAKAN_GR/EKOR;DELTA_PAKAN_CUM_GR/EKOR;ABW_STD;DG_STD;ABW_ACT;DG_ACT;DELTA_ABW;DELTA_DG;FCR_STD;FCR_ACT;DELTA_FCR;IP_STD;IP_ACT;JUMLAH_AYAM_AKHIR;JUMLAH_AYAM_AWAL;PERIODE
10/05/24;1;19;0;19;0.1;0.1;7;18;18;7;7;18;18;0;0;0;56;14;64;22;8;8;0.321;0.28;-0.041;0;0;19481;19500;7
11/05/24;2;3;0;22;0.11;0.23;9;22;40;8;15;20.5;38.5;-1;-1;-1;73;17;81;17;8;0;0.549;0.475;-0.074;0;0;19478;19500;7
12/05/24;3;15;0;37;0.19;0.36;10;26;66;10;25;25.7;64.2;0;0;-2;94;20;107;26;13;6;0.711;0.6;-0.111;0;0;19463;19500;7
13/05/24;4;10;0;47;0.24;0.49;12;30;96;11;36;28.3;92.4;-1;-2;-4;117;24;131;24;14;0;0.826;0.706;-0.12;0;0;19453;19500;7
14/05/24;5;2;0;49;0.25;0.62;13;34;131;13;49;33.4;125.9;0;-1;-5;144;27;161;30;17;3;0.914;0.782;-0.132;0;0;19451;19500;7
15/05/24;6;15;0;64;0.33;0.75;15;38;170;15;64;38.6;164.5;0;1;-6;174;30;185;24;11;-6;0.979;0.889;-0.09;0;0;19436;19500;7
16/05/24;7;10;0;74;0.38;0.68;17;43;210;17;81;43.8;208.2;0;1;-2;205;33;222;37;17;4;1.029;0.938;-0.091;270;337;19426;19500;7
17/05/24;8;3;0;77;0.39;1.01;17;45;260;18;99;46.3;254.5;1;1;-5;244;37;256;34;12;-3;1.068;0.994;-0.074;268;321;19423;19500;7
18/05/24;9;3;0;80;0.41;1.14;21;53;312;20;119;51.5;306;-1;-2;-6;285;41;298;42;13;1;1.099;1.027;-0.072;274;321;19420;19500;7
19/05/24;10;2;0;82;0.42;1.27;22;56;372;22;141;56.6;362.7;0;1;-9;330;45;345;47;15;2;1.129;1.051;-0.078;281;327;19418;19500;7
20/05/24;11;2;0;84;0.43;1.4;24;63;435;24;165;61.8;424.5;0;-1;-10;380;49;394;49;14;0;1.149;1.077;-0.072;289;331;19416;19500;7
21/05/24;12;4;0;88;0.45;1.53;26;68;506;26;191;67;491.5;0;-1;-15;434;54;448;54;14;0;1.169;1.097;-0.072;297;339;19412;19500;7
22/05/24;13;6;0;94;0.48;1.68;28;73;584;28;219;72.1;563.6;0;-1;-20;492;56;506;58;14;2;1.186;1.114;-0.072;305;348;19406;19500;7
23/05/24;14;13;0;107;0.55;1.79;30;78;668;30;249;77.3;641;0;-1;-27;553;61;559;53;6;-8;1.208;1.147;-0.061;313;346;19393;19500;7
24/05/24;15;6;0;113;0.58;1.92;33;84;752;32;281;82.5;723.5;-1;-1;-29;618;65;626;67;8;2;1.219;1.156;-0.063;320;359;19387;19500;7
25/05/24;16;11;0;124;0.64;2.06;35;90;841;34;315;87.7;811.2;-1;-2;-30;685;68;702;76;17;8;1.229;1.156;-0.073;327;377;19376;19500;7
26/05/24;17;10;0;134;0.69;2.18;37;96;936;37;352;95.5;906.7;0;0;-29;756;71;773;71;17;0;1.239;1.173;-0.066;334;385;19366;19500;7
27/05/24;18;12;0;146;0.75;2.31;39;102;1036;40;392;103.3;1010.1;1;1;-26;830;74;847;74;17;0;1.249;1.193;-0.056;343;391;19354;19500;7
28/05/24;19;19;0;165;0.85;2.44;41;106;1142;41;433;106;1116.1;0;0;-26;908;77;926;79;18;2;1.259;1.205;-0.054;378;401;19335;19500;7
29/05/24;20;11;0;176;0.9;2.57;44;114;1256;45;478;116.4;1232.5;1;2;-23;967;80;1011;85;44;5;1.272;1.219;-0.053;383;411;19324;19500;7
30/05/24;21;10;0;186;0.95;2.7;46;120;1382;46;524;119.1;1351.6;0;-1;-30;1069;82;1082;71;13;-11;1.294;1.249;-0.045;387;409;19314;19500;7
31/05/24;22;16;0;202;1.04;2.83;49;126;1517;49;573;127;1478.6;0;1;-38;1153;84;1158;76;5;-8;1.137;1.277;0.14;391;408;19298;19500;7
01/06/24;23;10;0;212;1.09;2.96;51;132;1656;51;624;132.2;1610.8;0;0;-45;1239;86;1255;97;16;11;1.337;1.284;-0.053;394;420;19288;19500;7
02/06/24;24;7;0;219;1.12;3.09;53;138;1803;54;678;140;1750.8;1;2;-52;1327;88;1344;89;17;1;1.36;1.303;-0.057;397;425;19281;19500;7
03/06/24;25;7;0;226;1.16;3.22;56;144;1958;55;733;142.7;1893.5;-1;-1;-64;1418;90;1428;84;10;-6;1.382;1.326;-0.056;400;426;19274;19500;7
04/06/24;26;7;0;233;1.19;3.35;58;150;2120;59;792;153.1;2046.6;1;3;-73;1510;92;1513;85;3;-7;1.405;1.353;-0.052;402;425;19267;19500;7
05/06/24;27;4;0;237;1.22;3.4;60;156;2285;60;852;155.7;2202.4;0;0;-83;1604;94;1607;94;3;0;1.426;1.37;-0.056;404;429;19263;19500;7
06/06/24;28;5;0;242;1.24;3.61;62;162;2455;55;907;142.8;2345.2;-7;-19;-110;1698;95;1703;96;5;1;1.446;1.377;-0.069;405;436;19258;19500;7
07/06/24;29;0;0;242;1.24;3.74;65;168;2635;57;964;148;2493.1;-8;-20;-142;1794;96;1798;95;4;-1;1.47;1.387;-0.083;406;441;19258;19500;7
08/06/24;30;13;0;255;1.31;3.87;67;173;2818;53;1017;137.7;2630.8;-14;-35;-187;1891;97;1877;79;-14;-18;1.491;1.402;-0.089;407;440;19245;19500;7
09/06/24;31;7;0;262;1.34;4;68;178;3004;55;1072;142.9;2773.8;-13;-35;-230;1989;98;1977;100;-12;2;1.511;1.403;-0.108;408;448;19238;19500;7
10/06/24;32;3;0;265;1.36;4.13;70;183;3201;57;1129;148.2;2922;-13;-35;-279;2087;99;2180;203;93;104;1.534;1.34;-0.194;408;501;19235;19500;7
11/06/24;33;9;0;274;1.41;4.26;72;188;3403;62;1191;161.2;3083.2;-10;-27;-320;2187;100;2279;99;92;-1;1.556;1.353;-0.203;408;503;19226;19500;7
