TANGGAL;AGE;MATI;AFKIR;JML_DEPLESI;CUM_DEPLESI_%;STD_CUM_DEPLESI_%;PAKAN_STD_ZAK;PAKAN_STD_GR/EK;PAKAN_STD_CUM_GR/EK;PAKAN_ACT_ZAK;PAKAN_ACT_CUM_ZAK;PAKAN_ACT_GR/EK;PAKAN_CUM_GR/EK;DELTA_PAKAN_ZAK;DELTA_PAKAN_GR/EKOR;DELTA_PAKAN_CUM_GR/EKOR;ABW_STD;DG_STD;ABW_ACT;DG_ACT;DELTA_ABW;DELTA_DG;FCR_STD;FCR_ACT;DELTA_FCR;IP_STD;IP_ACT;JUMLAH_AYAM_AKHIR;JUMLAH_AYAM_AWAL;PERIODE
12/07/23;1;16;0;16;0.09;0.1;6;18;18;9;9;25.4;25.4;3;7;7;56;14;69;22;13;8;0.321;0.362;0.041;0;0;17684;17700;3
13/07/23;2;17;0;33;0.19;0.23;8;22;40;8;17;22.6;48.1;0;1;8;73;17;83;14;10;-3;0.549;0.578;0.029;0;0;17667;17700;3
14/07/23;3;11;0;44;0.25;0.36;9;26;66;9;26;25.5;73.6;0;-1;8;94;20;98.5;16;5;-5;0.711;0.751;0.04;0;0;17656;17700;3
15/07/23;4;7;0;51;0.29;0.49;11;30;96;10;36;28.3;101.9;-1;-2;6;117;24;120;22;3;-3;0.826;0.85;0.024;0;0;17649;17700;3
16/07/23;5;8;0;59;0.33;0.62;12;34;131;12;48;34;135.9;0;0;5;144;27;144;24;0;-3;0.914;0.944;0.03;0;0;17641;17700;3
17/07/23;6;9;0;68;0.38;0.75;13;38;170;14;62;39.7;175.6;1;2;6;174;30;170;26;-4;-4;0.979;1.035;0.056;0;0;17632;17700;3
18/07/23;7;6;0;74;0.42;0.68;15;43;210;15;77;42.6;218.1;0;0;8;205;33;197;27;-8;-6;1.029;1.107;0.078;270;253;17626;17700;3
19/07/23;8;4;0;78;0.44;1.01;16;45;260;10;87;28.4;246.5;-6;-17;-13;244;37;230.5;34;-14;-4;1.068;1.072;0.004;268;268;17622;17700;3
20/07/23;9;6;0;84;0.47;1.14;19;53;312;16;103;45.4;291.9;-3;-8;-20;285;41;274;44;-11;3;1.099;1.066;-0.033;274;284;17616;17700;3
21/07/23;10;3;0;87;0.49;1.27;20;56;372;17;120;48.3;340.2;-3;-8;-32;330;45;312;38;-18;-7;1.129;1.09;-0.039;281;285;17613;17700;3
22/07/23;11;10;0;97;0.55;1.4;22;63;435;22;142;62.5;402.7;0;-1;-32;380;49;369;57;-11;8;1.149;1.092;-0.057;289;306;17603;17700;3
23/07/23;12;3;0;100;0.56;1.53;24;68;506;24;166;68.2;470.9;0;0;-35;434;54;414;45;-20;-9;1.169;1.138;-0.031;297;301;17600;17700;3
24/07/23;13;5;0;105;0.59;1.68;26;73;584;25;191;71;541.9;-1;-2;-42;492;56;471;57;-21;1;1.186;1.151;-0.035;305;313;17595;17700;3
25/07/23;14;4;0;109;0.62;1.79;27;78;668;26;217;73.9;615.8;-1;-4;-52;553;61;528;57;-25;-4;1.208;1.167;-0.041;313;321;17591;17700;3
26/07/23;15;9;0;118;0.67;1.92;30;84;752;30;247;85.3;701.1;0;1;-51;618;65;598;70;-20;5;1.219;1.172;-0.047;320;338;17582;17700;3
27/07/23;16;5;0;123;0.69;2.06;32;90;841;32;279;91;792.1;0;1;-49;685;68;652;54;-33;-14;1.229;1.215;-0.014;327;333;17577;17700;3
28/07/23;17;8;0;131;0.74;2.18;34;96;936;32;311;91.1;883.2;-2;-5;-53;756;71;724;72;-32;1;1.239;1.22;-0.019;334;347;17569;17700;3
29/07/23;18;4;0;135;0.76;2.31;36;102;1036;30;341;85.4;968.6;-6;-17;-67;830;74;800;76;-30;2;1.249;1.211;-0.038;343;364;17565;17700;3
30/07/23;19;8;0;143;0.81;2.44;37;106;1142;35;376;99.7;1068.3;-2;-6;-74;908;77;865;65;-43;-12;1.259;1.235;-0.024;378;366;17557;17700;3
31/07/23;20;6;0;149;0.84;2.57;40;114;1256;40;416;114;1182.2;0;0;-74;967;80;938;73;-29;-7;1.272;1.26;-0.012;383;369;17551;17700;3
01/08/23;21;7;0;156;0.88;2.7;42;120;1382;42;458;119.7;1301.9;0;0;-80;1069;82;990;52;-79;-30;1.294;1.315;0.021;387;355;17544;17700;3
02/08/23;22;6;0;162;0.92;2.83;44;126;1517;36;494;102.6;1404.6;-8;-23;-112;1153;84;1033;43;-120;-41;1.137;1.36;0.223;391;342;17538;17700;3
03/08/23;23;41;0;203;1.15;2.96;46;132;1656;36;530;102.9;1507.5;-10;-29;-149;1239;86;1088;55;-151;-31;1.337;1.385;0.048;394;338;17497;17700;3
04/08/23;24;16;0;219;1.24;3.09;48;138;1803;39;569;111.5;1619;-9;-26;-184;1327;88;1160;72;-167;-16;1.36;1.396;0.036;397;342;17481;17700;3
