TANGGAL;AGE;MATI;AFKIR;JML_DEPLESI;CUM_DEPLESI_%;STD_CUM_DEPLESI_%;PAKAN_STD_ZAK;PAKAN_STD_GR/EK;PAKAN_STD_CUM_GR/EK;PAKAN_ACT_ZAK;PAKAN_ACT_CUM_ZAK;PAKAN_ACT_GR/EK;PAKAN_CUM_GR/EK;DELTA_PAKAN_ZAK;DELTA_PAKAN_GR/EKOR;DELTA_PAKAN_CUM_GR/EKOR;ABW_STD;DG_STD;ABW_ACT;DG_ACT;DELTA_ABW;DELTA_DG;FCR_STD;FCR_ACT;DELTA_FCR;IP_STD;IP_ACT;JUMLAH_AYAM_AKHIR;JUMLAH_AYAM_AWAL;PERIODE
29/01/24;1;9;0;9;0.045;0.1;7;18;18;7;7;17.5;17.5;0;0;0;56;14;70.5;22;15;8;0.321;0.255;-0.066;0;0;19991;20000;5
30/01/24;2;13;0;22;0.11;0.23;9;22;40;9;16;22.5;40;0;1;0;73;17;90.5;20;18;3;0.549;0.442;-0.107;0;0;19978;20000;5
31/01/24;3;9;0;31;0.155;0.36;10;26;66;9;25;22.5;62.5;-1;-3;-3;94;20;113;23;19;3;0.711;0.558;-0.153;0;0;19969;20000;5
01/02/24;4;12;0;43;0.215;0.49;12;30;96;10;35;25.1;87.6;-2;-5;-8;117;24;137.5;25;21;1;0.826;0.64;-0.186;0;0;19957;20000;5
02/02/24;5;10;0;53;0.265;0.62;14;34;131;14;49;35.1;122.7;0;1;-8;144;27;175.5;38;32;11;0.914;0.701;-0.213;0;0;19947;20000;5
03/02/24;6;14;0;67;0.335;0.75;15;38;170;16;65;40.1;162.8;1;2;-7;174;30;207.5;32;34;2;0.979;0.786;-0.193;0;0;19933;20000;5
04/02/24;7;6;0;73;0.365;0.68;17;43;210;18;83;45.2;208;1;2;-2;205;33;250;43;45;10;1.029;0.832;-0.197;270;351;19927;20000;5
05/02/24;8;11;0;84;0.42;1.01;18;45;260;20;103;50.2;258.2;2;5;-2;244;37;296.5;47;53;10;1.068;0.87;-0.198;268;349;19916;20000;5
06/02/24;9;10;0;94;0.47;1.14;21;53;312;22;125;55.3;313.5;1;2;1;285;41;334;38;49;-4;1.099;0.937;-0.162;274;336;19906;20000;5
07/02/24;10;15;0;109;0.545;1.27;22;56;372;22;147;55.3;368.8;0;-1;-3;330;45;386.5;53;57;8;1.129;0.955;-0.174;281;344;19891;20000;5
08/02/24;11;13;0;122;0.61;1.4;25;63;435;25;172;62.9;431.7;0;0;-3;380;49;421.5;35;42;-14;1.149;1.025;-0.124;289;335;19878;20000;5
09/02/24;12;12;0;134;0.67;1.53;27;68;506;27;199;68;499.7;0;0;-6;434;54;460;39;26;-16;1.169;1.087;-0.082;297;330;19866;20000;5
10/02/24;13;12;0;146;0.73;1.68;29;73;584;29;228;73;572.7;0;0;-11;492;56;521;61;29;5;1.186;1.1;-0.086;305;342;19854;20000;5
11/02/24;14;16;0;162;0.81;1.79;31;78;668;31;259;78.1;650.8;0;0;-17;553;61;590;69;37;8;1.208;1.103;-0.105;313;355;19838;20000;5
12/02/24;15;16;0;178;0.89;1.92;33;84;752;33;292;83.2;734;0;-1;-18;618;65;667;77;49;12;1.219;1.1;-0.119;320;371;19822;20000;5
13/02/24;16;11;0;189;0.945;2.06;36;90;841;35;327;88.3;822.3;-1;-2;-19;685;68;720;53;35;-15;1.229;1.142;-0.087;327;371;19811;20000;5
14/02/24;17;11;0;200;1;2.18;38;96;936;37;364;93.4;915.7;-1;-3;-20;756;71;777;57;21;-14;1.239;1.179;-0.06;334;373;19800;20000;5
15/02/24;18;15;0;215;1.075;2.31;40;102;1036;39;403;98.6;1014.3;-1;-3;-22;830;74;857;80;27;6;1.249;1.183;-0.066;343;386;19785;20000;5
16/02/24;19;16;0;231;1.155;2.44;42;106;1142;41;444;103.7;1118;-1;-2;-24;908;77;938;81;30;4;1.259;1.192;-0.067;378;396;19769;20000;5
17/02/24;20;7;0;238;1.19;2.57;45;114;1256;45;489;113.9;1231.9;0;0;-24;967;80;1038;100;71;20;1.272;1.187;-0.085;383;402;19762;20000;5
18/02/24;21;3;0;241;1.205;2.7;47;120;1382;47;536;118.9;1350.8;0;-1;-31;1069;82;1124.5;87;56;5;1.294;1.201;-0.093;387;419;19759;20000;5
19/02/24;22;4;0;245;1.225;2.83;50;126;1517;49;585;124;1474.8;-1;-2;-42;1153;84;1234;110;81;26;1.137;1.195;0.058;391;433;19755;20000;5
20/02/24;23;4;0;249;1.245;2.96;52;132;1656;52;637;131.6;1606.4;0;0;-49;1239;86;1328;94;89;8;1.337;1.21;-0.127;394;440;19751;20000;5
21/02/24;24;14;0;263;1.315;3.09;54;138;1803;57;694;144.4;1750.8;3;6;-52;1327;88;1426;98;99;10;1.36;1.228;-0.132;397;444;19737;20000;5
22/02/24;25;14;0;277;1.385;3.22;57;144;1958;60;754;152.1;1902.9;3;8;-55;1418;90;1516;90;98;0;1.382;1.255;-0.127;400;446;19723;20000;5
23/02/24;26;16;0;293;1.465;3.35;59;150;2120;64;818;162.4;2065.3;5;12;-55;1510;92;1604;88;94;-4;1.405;1.287;-0.118;402;445;19707;20000;5
24/02/24;27;5;0;298;1.49;3.4;61;156;2285;56;874;142.1;2207.4;-5;-14;-77;1604;94;1698;94;94;0;1.426;1.3;-0.126;404;450;19702;20000;5
25/02/24;28;12;0;310;1.55;3.61;64;162;2455;51;925;129.5;2336.9;-13;-32;-118;1698;95;1793;95;95;0;1.446;1.303;-0.143;405;458;19690;20000;5
