TANGGAL;AGE;MATI;AFKIR;JML_DEPLESI;CUM_DEPLESI_%;STD_CUM_DEPLESI_%;PAKAN_STD_ZAK;PAKAN_STD_GR/EK;PAKAN_STD_CUM_GR/EK;PAKAN_ACT_ZAK;PAKAN_ACT_CUM_ZAK;PAKAN_ACT_GR/EK;PAKAN_CUM_GR/EK;DELTA_PAKAN_ZAK;DELTA_PAKAN_GR/EKOR;DELTA_PAKAN_CUM_GR/EKOR;ABW_STD;DG_STD;ABW_ACT;DG_ACT;DELTA_ABW;DELTA_DG;FCR_STD;FCR_ACT;DELTA_FCR;IP_STD;IP_ACT;JUMLAH_AYAM_AKHIR;JUMLAH_AYAM_AWAL;PERIODE
12/07/23;1;16;0;16;0.09;0.1;6;18;18;9;9;25.4;25;3;7;7;56;14;69;22;13;8;0.321;0.369;0.048;0;0;17684;17700;2
13/07/23;2;17;0;33;0.19;0.23;8;22;40;8;17;22.6;48;0;1;8;73;17;83;14;10;-3;0.549;0.579;0.03;0;0;17667;17700;2
14/07/23;3;11;0;44;0.25;0.36;9;26;66;9;26;25.5;74;0;-1;8;94;20;98.5;16;5;-5;0.711;0.747;0.036;0;0;17656;17700;2
15/07/23;4;7;0;51;0.29;0.49;11;30;96;10;36;28.3;102;-1;-2;6;117;24;120;22;3;-3;0.826;0.849;0.023;0;0;17649;17700;2
16/07/23;5;8;0;59;0.33;0.62;12;34;131;12;48;34;136;0;0;5;144;27;144;24;0;-3;0.914;0.944;0.03;0;0;17641;17700;2
17/07/23;6;9;0;68;0.38;0.75;13;38;170;14;62;39.7;176;1;2;6;174;30;170;26;-4;-4;0.979;1.033;0.054;0;0;17632;17700;2
18/07/23;7;6;0;74;0.42;0.68;15;43;210;15;77;42.6;218;0;0;8;205;33;197;27;-8;-6;1.029;1.107;0.078;270;253;17626;17700;2
19/07/23;8;4;0;78;0.44;1.01;16;45;260;10;87;28.4;247;-6;-17;-13;244;37;230.5;34;-14;-4;1.068;1.07;0.002;268;268;17622;17700;2
20/07/23;9;6;0;84;0.47;1.14;19;53;312;16;103;45.4;292;-3;-8;-20;285;41;274;44;-11;3;1.099;1.066;-0.033;274;284;17616;17700;2
21/07/23;10;3;0;87;0.49;1.27;20;56;372;17;120;48.3;340;-3;-8;-32;330;45;312;38;-18;-7;1.129;1.09;-0.039;281;285;17613;17700;2
22/07/23;11;10;0;97;0.55;1.4;22;63;435;22;142;62.5;403;0;-1;-32;380;49;369;57;-11;8;1.149;1.091;-0.058;289;306;17603;17700;2
23/07/23;12;3;0;100;0.56;1.53;24;68;506;24;166;68.2;471;0;0;-35;434;54;414;45;-20;-9;1.169;1.137;-0.032;297;302;17600;17700;2
24/07/23;13;5;0;105;0.59;1.68;26;73;584;25;191;71;542;-1;-2;-42;492;56;471;57;-21;1;1.186;1.151;-0.035;305;313;17595;17700;2
25/07/23;14;4;0;109;0.62;1.79;27;78;668;26;217;73.9;616;-1;-4;-52;553;61;528;57;-25;-4;1.208;1.166;-0.042;313;321;17591;17700;2
26/07/23;15;9;0;118;0.67;1.92;30;84;752;30;247;85.3;701;0;1;-51;618;65;598;70;-20;5;1.219;1.172;-0.047;320;338;17582;17700;2
27/07/23;16;5;0;123;0.69;2.06;32;90;841;32;279;91;792;0;1;-49;685;68;652;54;-33;-14;1.229;1.215;-0.014;327;333;17577;17700;2
28/07/23;17;8;0;131;0.74;2.18;34;96;936;32;311;91.1;883;-2;-5;-53;756;71;724;72;-32;1;1.239;1.22;-0.019;334;347;17569;17700;2
29/07/23;18;4;0;135;0.76;2.31;36;102;1036;30;341;85.4;969;-6;-17;-67;830;74;800;76;-30;2;1.249;1.211;-0.038;343;364;17565;17700;2
30/07/23;19;8;0;143;0.81;2.44;37;106;1142;35;376;99.7;1068;-2;-6;-74;908;77;865;65;-43;-12;1.259;1.235;-0.024;378;366;17557;17700;2
31/07/23;20;6;0;149;0.84;2.57;40;114;1256;40;416;114;1182;0;0;-74;967;80;938;73;-29;-7;1.272;1.26;-0.012;383;369;17551;17700;2
01/08/23;21;7;0;156;0.88;2.7;42;120;1382;42;458;119.7;1302;0;0;-80;1069;82;990;52;-79;-30;1.294;1.315;0.021;387;355;17544;17700;2
02/08/23;22;6;0;162;0.92;2.83;44;126;1517;36;494;102.6;1405;-8;-23;-112;1153;84;1033;43;-120;-41;1.137;1.36;0.223;391;342;17538;17700;2
03/08/23;23;41;0;203;1.15;2.96;46;132;1656;36;530;102.9;1507;-10;-29;-149;1239;86;1088;55;-151;-31;1.337;1.386;0.049;394;337;17497;17700;2
04/08/23;24;16;0;219;1.24;3.09;48;138;1803;39;569;111.5;1619;-9;-26;-184;1327;88;1160;72;-167;-16;1.36;1.396;0.036;397;342;17481;17700;2
05/08/23;25;21;0;240;1.36;3.22;50;144;1958;43;612;123.1;1742;-7;-21;-216;1418;90;1254;94;-164;4;1.382;1.389;0.007;400;356;17460;17700;2
06/08/23;26;6;0;246;1.39;3.35;52;150;2120;49;661;140.4;1883;-3;-10;-237;1510;92;1357;103;-153;11;1.405;1.387;-0.018;402;371;17454;17700;2
07/08/23;27;4;0;250;1.41;3.4;54;156;2285;54;715;154.7;2037;0;-1;-248;1604;94;1435;78;-169;-16;1.426;1.42;-0.006;404;369;17450;17700;2
08/08/23;28;5;0;255;1.44;3.61;57;162;2455;55;770;157.6;2195;-2;-4;-260;1698;95;1563;128;-135;33;1.446;1.404;-0.042;405;392;17445;17700;2
09/08/23;29;3;0;258;1.46;3.74;59;168;2635;57;827;163.4;2358;-2;-5;-277;1794;96;1679;116;-115;20;1.47;1.405;-0.065;406;406;17442;17700;2
10/08/23;30;8;0;266;1.5;3.87;60;173;2818;60;887;172.1;2530;0;-1;-288;1891;97;1765;86;-126;-11;1.491;1.434;-0.057;407;404;17434;17700;2
11/08/23;31;5;0;271;1.53;4;62;178;3004;62;949;177.9;2708;0;0;-296;1989;98;1856;91;-133;-7;1.511;1.459;-0.052;408;404;17429;17700;2
12/08/23;32;9;0;280;1.58;4.13;64;183;3201;64;1013;183.7;2892;0;1;-309;2087;99;1955;99;-132;0;1.534;1.479;-0.055;408;406;17420;17700;2
13/08/23;33;14;0;294;1.66;4.26;65;188;3403;65;1078;186.7;3079;0;-1;-324;2187;100;2056;101;-131;1;1.556;1.497;-0.059;408;409;17406;17700;2
14/08/23;34;1;0;295;1.67;4.39;67;193;3601;67;1145;192.5;3271;0;-1;-330;2289;101;2155;99;-134;-2;1.578;1.518;-0.06;407;411;17405;17700;2
15/08/23;35;0;0;295;1.67;4.52;69;198;3821;69;1214;198.2;3469;0;0;-352;2390;101;2402;247;12;146;1.6;1.444;-0.156;406;467;17405;17700;2
