TANGGAL;AGE;MATI;AFKIR;JML_DEPLESI;CUM_DEPLESI_%;STD_CUM_DEPLESI_%;PAKAN_STD_ZAK;PAKAN_STD_GR/EK;PAKAN_STD_CUM_GR/EK;PAKAN_ACT_ZAK;PAKAN_ACT_CUM_ZAK;PAKAN_ACT_GR/EK;PAKAN_CUM_GR/EK;DELTA_PAKAN_ZAK;DELTA_PAKAN_GR/EKOR;DELTA_PAKAN_CUM_GR/EKOR;ABW_STD;DG_STD;ABW_ACT;DG_ACT;DELTA_ABW;DELTA_DG;FCR_STD;FCR_ACT;DELTA_FCR;IP_STD;IP_ACT;JUMLAH_AYAM_AKHIR;JUMLAH_AYAM_AWAL;PERIODE
27/10/24;1;12;0;12;0.06;0.1;7;18;18;7;7;17.4;17.4;0;-1;-1;56;14;63;22;7;8;0.321;0.276;-0.045;0;0;20088;20100;10
28/10/24;2;9;0;21;0.1;0.23;9;22;40;9;16;22.4;39.8;0;0;0;73;17;82;19;9;2;0.549;0.486;-0.063;0;0;20079;20100;10
29/10/24;3;6;0;27;0.13;0.36;10;26;66;10;26;24.9;64.7;0;-1;-1;94;20;105;23;11;3;0.711;0.617;-0.094;0;0;20073;20100;10
30/10/24;4;6;0;33;0.16;0.49;12;30;96;12;38;29.9;94.6;0;0;-1;117;24;130;25;13;1;0.826;0.728;-0.098;0;0;20067;20100;10
31/10/24;5;3;0;36;0.18;0.62;14;34;131;14;52;34.9;129.5;0;1;-1;144;27;159;29;15;2;0.914;0.815;-0.099;0;0;20064;20100;10
01/11/24;6;5;0;41;0.2;0.75;15;38;170;15;67;37.4;166.9;0;-1;-3;174;30;191;32;17;2;0.979;0.874;-0.105;0;0;20059;20100;10
02/11/24;7;2;0;43;0.21;0.68;17;43;210;17;84;42.4;209.3;0;-1;-1;205;33;226;35;21;2;1.029;0.926;-0.103;270;348;20057;20100;10
03/11/24;8;0;0;43;0.21;1.01;18;45;260;18;102;44.9;254.2;0;0;-6;244;37;265;39;21;2;1.068;0.959;-0.109;268;345;20057;20100;10
04/11/24;9;0;0;43;0.21;1.14;21;53;312;21;123;52.4;306.5;0;-1;-5;285;41;306;41;21;0;1.099;1.002;-0.097;274;339;20057;20100;10
05/11/24;10;3;0;46;0.23;1.27;22;56;372;22;145;54.9;361.4;0;-1;-11;330;45;351;45;21;0;1.129;1.03;-0.099;281;340;20054;20100;10
06/11/24;11;4;0;50;0.25;1.4;25;63;435;25;170;62.3;423.7;0;-1;-11;380;49;402;51;22;2;1.149;1.054;-0.095;289;346;20050;20100;10
07/11/24;12;5;0;55;0.27;1.53;27;68;506;27;197;67.3;491.1;0;-1;-15;434;54;451;49;17;-5;1.169;1.089;-0.08;297;344;20045;20100;10
08/11/24;13;6;0;61;0.3;1.68;29;73;584;29;226;72.4;563.4;0;-1;-21;492;56;495;44;3;-12;1.186;1.138;-0.048;305;334;20039;20100;10
09/11/24;14;7;0;68;0.34;1.79;31;78;668;31;257;77.4;640.8;0;-1;-27;553;61;557;62;4;1;1.208;1.15;-0.058;313;345;20032;20100;10
10/11/24;15;4;0;72;0.36;1.92;34;84;752;33;290;82.4;723.2;-1;-2;-29;618;65;623;66;5;1;1.219;1.161;-0.058;320;357;20028;20100;10
11/11/24;16;7;0;79;0.39;2.06;36;90;841;36;326;89.9;813.1;0;0;-28;685;68;700;77;15;9;1.229;1.162;-0.067;327;375;20021;20100;10
12/11/24;17;4;0;83;0.41;2.18;38;96;936;38;364;94.9;908;0;-1;-28;756;71;768;68;12;-3;1.239;1.182;-0.057;334;381;20017;20100;10
13/11/24;18;3;0;86;0.43;2.31;41;102;1036;40;404;99.9;1007.9;-1;-2;-28;830;74;842;74;12;0;1.249;1.197;-0.052;343;389;20014;20100;10
14/11/24;19;7;0;93;0.46;2.44;42;106;1142;42;446;105;1112.9;0;-1;-29;908;77;922;80;14;3;1.259;1.207;-0.052;378;400;20007;20100;10
15/11/24;20;5;0;98;0.49;2.57;46;114;1256;45;491;112.5;1225.4;-1;-2;-31;967;80;1001;79;34;-1;1.272;1.224;-0.048;383;407;20002;20100;10
16/11/24;21;7;0;105;0.52;2.7;48;120;1382;48;539;120;1345.4;0;0;-37;1069;82;1082;81;13;-1;1.294;1.243;-0.051;387;412;19995;20100;10
17/11/24;22;2;0;107;0.53;2.83;50;126;1517;50;589;125;1470.5;0;-1;-47;1153;84;1163;81;10;-3;1.137;1.264;0.127;391;416;19993;20100;10
18/11/24;23;1;0;108;0.54;2.96;53;132;1656;52;641;130.1;1600.5;-1;-2;-55;1239;86;1249;86;10;0;1.337;1.281;-0.056;394;421;19992;20100;10
19/11/24;24;2;0;110;0.55;3.09;55;138;1803;55;696;137.6;1738.1;0;0;-65;1327;88;1337;88;10;0;1.36;1.3;-0.06;397;426;19990;20100;10
20/11/24;25;3;0;113;0.56;3.22;58;144;1958;53;749;132.6;1870.7;-5;-11;-87;1418;90;1427;90;9;0;1.382;1.311;-0.071;400;433;19987;20100;10
21/11/24;26;5;0;118;0.59;3.35;60;150;2120;55;804;137.6;2008.3;-5;-12;-112;1510;92;1519;92;9;0;1.405;1.322;-0.083;402;439;19982;20100;10
22/11/24;27;5;0;123;0.61;3.4;62;156;2285;57;861;142.7;2151;-5;-13;-134;1604;94;1614;95;10;1;1.426;1.333;-0.093;404;446;19977;20100;10
23/11/24;28;3;0;126;0.63;3.61;65;162;2455;59;920;147.7;2298.6;-6;-14;-156;1698;95;1710;96;12;1;1.446;1.344;-0.102;405;451;19974;20100;10
24/11/24;29;3;0;129;0.64;3.74;67;168;2635;61;981;152.7;2451.4;-6;-15;-184;1794;96;1806;96;12;0;1.47;1.357;-0.113;406;456;19971;20100;10
25/11/24;30;0;0;129;0.64;3.87;69;173;2818;63;1044;157.7;2609.1;-6;-15;-209;1891;97;1912;106;21;9;1.491;1.365;-0.126;407;464;19971;20100;10
26/11/24;31;0;0;129;0.64;4;71;178;3004;65;1109;162.7;2771.8;-6;-15;-232;1989;98;2011;99;22;1;1.511;1.378;-0.133;408;468;19971;20100;10
27/11/24;32;0;0;129;0.64;4.13;73;183;3201;68;1177;170.2;2942.1;-5;-13;-259;2087;99;2118;107;31;8;1.534;1.389;-0.145;408;473;19971;20100;10
28/11/24;33;0;0;129;0.64;4.26;75;188;3403;65;1242;162.7;3104.8;-10;-25;-298;2187;100;2201;83;14;-17;1.556;1.411;-0.145;408;470;19971;20100;10
29/11/24;34;0;0;129;0.64;4.39;77;192;3504;70;1312;175.3;3280.1;-7;-17;-224;2289;101;2310;109;21;8;1.578;1.42;-0.158;407;475;19971;20100;10
30/11/24;35;0;0;129;0.64;4.52;79;199;3601;72;1384;180.3;3460.3;-7;-19;-141;2390;101;2400;90;10;-11;1.6;1.442;-0.158;407;473;19971;20100;10
