feature,importance_gain
IP_STD,0.5699093
FCR_ACT_lag_2,0.106710196
AGE,0.096217126
FEED_EFFICIENCY_lag_1,0.095176086
DELTA_DG_lag_3,0.058031514
FCR_ACT_lag_14,0.02302376
DELTA_DG_rolling_max_3,0.008633582
DELTA_DG_rolling_mean_7,0.004527493
DELTA_DG_rolling_min_14,0.0043186033
DG_ACT,0.0026447272
PAKAN_ACT_GR/EK_rolling_std_7,0.0025862819
DG_ACT_rolling_min_14,0.0016479036
MATI_rolling_mean_7,0.0015932077
DELTA_ABW,0.0015725595
DELTA_PAKAN_CUM_GR/EKOK,0.0011647854
PAKAN_DG_RATIO,0.0011619513
DG_ACT_lag_1,0.00097642164
DELTA_PAKAN_GR/EKOR_rolling_max_7,0.0009461829
DG_ACT_rolling_std_7,0.0008347291
tcn_feature_77,0.0007375661
JUMLAH_AYAM_AKHIR,0.00072884
tcn_feature_80,0.00068420597
STD_CUM_DEPLESI_%,0.00066559506
MATI_rolling_min_7,0.0006606635
DG_ACT_lag_2,0.00065377675
DELTA_DG_rolling_mean_14,0.00055185443
tcn_feature_1,0.00053638377
DG_ACT_momentum_1,0.0004400847
JML_DEPLESI_rolling_std_14,0.00042789974
MATI,0.00041854757
tcn_feature_104,0.00041432478
PAKAN_ACT_GR/EK_rolling_std_14,0.0003952919
tcn_feature_52,0.00035947817
DELTA_DG_rolling_min_3,0.0003392671
tcn_feature_107,0.00032446574
tcn_feature_5,0.00031591975
tcn_feature_99,0.00030617884
tcn_feature_26,0.00030567052
tcn_feature_30,0.00029856316
DELTA_PAKAN_GR/EKOR_lag_3,0.00029799697
MATI_rolling_std_7,0.00029583665
DELTA_FCR,0.00029303893
JML_DEPLESI_lag_14,0.00028583224
MATI_rolling_std_3,0.0002680394
tcn_feature_42,0.00026487053
tcn_feature_88,0.00025242014
tcn_feature_97,0.00024194803
DELTA_PAKAN_GR/EKOR_volatility_3,0.0002294451
DELTA_DG,0.00022014807
DG_ACT_lag_3,0.00021293112
tcn_feature_79,0.00020730915
tcn_feature_21,0.00019532946
tcn_feature_68,0.000189096
tcn_feature_37,0.000181028
JML_DEPLESI_rolling_std_7,0.00017906977
tcn_feature_27,0.00017177069
tcn_feature_75,0.00017033478
tcn_feature_22,0.00015536415
tcn_feature_44,0.00015260249
tcn_feature_87,0.00014611105
tcn_feature_31,0.00014481087
tcn_feature_57,0.00013019283
MATI_lag_2,0.000121993246
MATI_lag_1,0.00011713359
tcn_feature_34,0.00011410626
tcn_feature_74,0.00011274042
DELTA_PAKAN_GR/EKOR_lag_7,0.000103720144
tcn_feature_109,0.00010123756
tcn_feature_36,0.00010089754
tcn_feature_86,9.961605e-05
tcn_feature_35,9.1845846e-05
MATI_momentum_1,9.148425e-05
tcn_feature_2,8.378188e-05
tcn_feature_70,8.370983e-05
MATI_lag_3,8.324943e-05
tcn_feature_65,8.206735e-05
tcn_feature_9,8.137674e-05
tcn_feature_100,7.9444246e-05
DELTA_PAKAN_GR/EKOR_rolling_mean_14,7.093335e-05
tcn_feature_33,7.01944e-05
MATI_acceleration,6.6596425e-05
tcn_feature_111,6.585138e-05
tcn_feature_8,6.569217e-05
PAKAN_ACT_GR/EK_trend_slope_3,6.5191045e-05
DG_ACT_trend_slope_3,6.107695e-05
tcn_feature_38,6.10511e-05
tcn_feature_49,6.097242e-05
tcn_feature_94,5.885504e-05
tcn_feature_43,5.6386754e-05
DELTA_DG_lag_2,5.2818563e-05
PAKAN_ACT_GR/EK_acceleration,5.0922812e-05
tcn_feature_78,4.8985836e-05
tcn_feature_58,4.7858484e-05
MATI_rolling_min_14,4.498646e-05
tcn_feature_105,4.300675e-05
tcn_feature_39,4.1354175e-05
tcn_feature_46,4.0948464e-05
tcn_feature_96,4.070218e-05
tcn_feature_18,4.0033043e-05
tcn_feature_3,3.873158e-05
tcn_feature_24,3.7528105e-05
tcn_feature_84,3.658337e-05
tcn_feature_15,3.6464786e-05
tcn_feature_82,3.546591e-05
MATI_rolling_max_14,3.3812015e-05
DELTA_PAKAN_GR/EKOR_lag_14,3.367632e-05
tcn_feature_110,3.1867003e-05
tcn_feature_83,3.1478867e-05
tcn_feature_20,3.0783413e-05
tcn_feature_28,3.0192485e-05
SUHU_MAX_rolling_std_3,2.9411596e-05
tcn_feature_0,2.931956e-05
tcn_feature_13,2.9315683e-05
tcn_feature_7,2.8827611e-05
tcn_feature_63,2.811165e-05
tcn_feature_55,2.6284657e-05
tcn_feature_95,2.6119575e-05
DELTA_PAKAN_ZAK,2.5702479e-05
tcn_feature_48,2.5434425e-05
DELTA_PAKAN_GR/EKOR_rolling_max_3,2.4512885e-05
PAKAN_ACT_GR/EK_rolling_std_3,2.3340148e-05
MATI_lag_14,2.2910017e-05
tcn_feature_72,2.269966e-05
tcn_feature_40,2.1548041e-05
SUHU_MAX_rolling_std_14,2.1194455e-05
MATI_rolling_std_14,2.043744e-05
MATI_rolling_min_3,2.0431822e-05
MATI_trend_slope_3,1.9960145e-05
tcn_feature_32,1.9953977e-05
DELTA_PAKAN_GR/EKOR_rolling_mean_7,1.941009e-05
tcn_feature_59,1.9047186e-05
tcn_feature_25,1.8749626e-05
DELTA_DG_lag_1,1.853219e-05
tcn_feature_73,1.8314746e-05
tcn_feature_19,1.8182653e-05
PAKAN_ACT_GR/EK_volatility_3,1.7921304e-05
tcn_feature_53,1.7668412e-05
tcn_feature_64,1.760275e-05
tcn_feature_12,1.6971724e-05
tcn_feature_71,1.6399668e-05
tcn_feature_41,1.6369546e-05
tcn_feature_103,1.6123347e-05
tcn_feature_4,1.5220808e-05
tcn_feature_23,1.2599897e-05
MATI_volatility_3,1.2152567e-05
PAKAN_ACT_GR/EK_momentum_1,1.1985884e-05
MATI_rolling_max_7,1.1732031e-05
tcn_feature_69,1.1583024e-05
JML_DEPLESI_acceleration,6.5032013e-06
tcn_feature_108,6.3342864e-06
JML_DEPLESI_rolling_std_3,5.066291e-06
DELTA_DG_rolling_mean_3,3.0803167e-06
tcn_feature_17,8.4342054e-07
JML_DEPLESI_volatility_3,2.153994e-07
tcn_feature_85,0.0
tcn_feature_89,0.0
DELTA_PAKAN_GR/EKOR_momentum_1,0.0
DELTA_PAKAN_GR/EKOR_acceleration,0.0
DELTA_PAKAN_GR/EKOR_rolling_max_14,0.0
DELTA_PAKAN_GR/EKOR_lag_2,0.0
tcn_feature_90,0.0
tcn_feature_102,0.0
SUHU_MAX_momentum_1,0.0
JML_DEPLESI,0.0
SUHU_MAX_acceleration,0.0
tcn_feature_106,0.0
SUHU_MAX_volatility_3,0.0
MATI_lag_7,0.0
tcn_feature_101,0.0
tcn_feature_91,0.0
DELTA_PAKAN_GR/EKOR_lag_1,0.0
tcn_feature_98,0.0
DELTA_DG_lag_7,0.0
DG_ACT_acceleration,0.0
tcn_feature_93,0.0
tcn_feature_92,0.0
tcn_feature_81,0.0
tcn_feature_66,0.0
DELTA_DG_lag_14,0.0
DELTA_PAKAN_GR/EKOR_trend_slope_3,0.0
DELTA_PAKAN_GR/EKOR_rolling_std_7,0.0
tcn_feature_29,0.0
DELTA_PAKAN_GR/EKOR_rolling_std_3,0.0
tcn_feature_16,0.0
tcn_feature_14,0.0
MATI_rolling_mean_14,0.0
tcn_feature_11,0.0
tcn_feature_10,0.0
MATI_rolling_max_3,0.0
tcn_feature_45,0.0
tcn_feature_47,0.0
DELTA_DG_rolling_std_7,0.0
tcn_feature_6,0.0
tcn_feature_50,0.0
tcn_feature_51,0.0
tcn_feature_54,0.0
DELTA_DG_rolling_min_7,0.0
tcn_feature_56,0.0
MATI_rolling_mean_3,0.0
tcn_feature_60,0.0
tcn_feature_61,0.0
tcn_feature_62,0.0
DELTA_DG_rolling_max_7,0.0
DELTA_PAKAN_GR/EKOR_rolling_std_14,0.0
tcn_feature_67,0.0
SUHU_MAX_rolling_std_7,0.0
DG_ACT_rolling_std_14,0.0
DG_ACT_rolling_std_3,0.0
tcn_feature_76,0.0
DG_ACT_volatility_3,0.0
