feature,importance_gain
FEED_EFFICIENCY_lag_1,0.31628606
FCR_ACT_lag_1,0.29305157
STD_CUM_DEPLESI_%,0.25240704
FCR_ACT_lag_14,0.038046263
FCR_STD,0.01809199
FCR_ACT_lag_7,0.010323754
DELTA_DG_rolling_mean_3,0.008758929
DELTA_DG_rolling_mean_7,0.008382805
DELTA_DG_rolling_min_14,0.0059356675
DG_ACT_rolling_min_14,0.0040357476
DELTA_DG_rolling_min_3,0.0037270365
DELTA_DG_rolling_mean_14,0.0035541325
PAKAN_DG_RATIO,0.0026877604
PAKAN_ACT_GR/EK_rolling_std_7,0.0016602941
AGE,0.0015628453
DELTA_DG_rolling_min_7,0.0014929803
SUHU_MAX_rolling_std_14,0.0012506228
DELTA_FCR,0.0011080286
JML_DEPLESI_rolling_std_3,0.0007064848
PAKAN_ACT_GR/EK_rolling_std_14,0.0006888619
tcn_feature_54,0.0006838304
DG_ACT_rolling_min_7,0.00059950154
JML_DEPLESI_lag_7,0.00057272497
DELTA_PAKAN_CUM_GR/EKOK,0.0005686234
tcn_feature_21,0.00056694093
MATI_rolling_mean_3,0.0005567906
DELTA_PAKAN_GR/EKOR_rolling_mean_3,0.00054112816
DG_ACT_rolling_std_7,0.0005263115
DELTA_PAKAN_GR/EKOR_lag_2,0.00048111807
DG_ACT_rolling_min_3,0.00047772715
PAKAN_ACT_GR/EK_lag_14,0.00047456595
DELTA_PAKAN_GR/EKOR_rolling_mean_7,0.00044510025
MATI_rolling_std_14,0.00043226735
DELTA_PAKAN_GR/EKOR_lag_14,0.00042014182
tcn_feature_52,0.00040708692
DELTA_DG,0.00039226533
DG_ACT_rolling_std_14,0.00038618533
DELTA_PAKAN_GR/EKOR_rolling_max_3,0.00038156725
MATI_rolling_min_3,0.00038010796
JUMLAH_AYAM_AKHIR,0.00036001985
tcn_feature_53,0.00035825055
DELTA_DG_lag_3,0.0003558982
tcn_feature_15,0.00034949256
tcn_feature_45,0.0003221368
