feature,importance_gain
tcn_feature_80,0.0
DELTA_PAKAN_GR/EKOR_rolling_min_14,0.0
tcn_feature_78,0.0
tcn_feature_77,0.0
DELTA_PAKAN_GR/EKOR_rolling_max_14,0.0
DELTA_PAKAN_GR/EKOR_rolling_min_3,0.0
tcn_feature_50,0.0
tcn_feature_73,0.0
DELTA_DG_rolling_std_14,0.0
SUHU_MAX_lag_7,0.0
tcn_feature_49,0.0
MATI_volatility_3,0.0
SUHU_MAX_momentum_1,0.0
DELTA_DG_lag_7,0.0
DELTA_DG_lag_14,0.0
SUHU_MAX_volatility_3,0.0
tcn_feature_13,0.0
DG_ACT_rolling_mean_3,0.0
tcn_feature_11,0.0
MATI_acceleration,0.0
DG_ACT_rolling_std_3,0.0
MATI_trend_slope_3,0.0
JML_DEPLESI_rolling_std_7,0.0
JML_DEPLESI_momentum_1,0.0
SUHU_MAX_rolling_std_3,0.0
tcn_feature_2,0.0
JML_DEPLESI_acceleration,0.0
MATI_rolling_min_3,0.0
SUHU_MAX_rolling_max_7,0.0
DELTA_PAKAN_GR/EKOR_trend_slope_3,0.0
ABW_ACT_acceleration,0.0
SUHU_MAX_rolling_max_14,0.0
MATI_rolling_max_3,0.0
tcn_feature_22,0.0
DG_ACT_volatility_3,0.0
DELTA_PAKAN_GR/EKOR_rolling_std_7,0.0
SUHU_MAX_lag_2,0.0
SUHU_MAX_lag_3,0.0
DELTA_PAKAN_GR/EKOR_momentum_1,0.0
tcn_feature_44,0.0
SUHU_MAX_lag_14,0.0
MATI_lag_2,0.0
DELTA_DG_rolling_max_14,0.0
tcn_feature_40,0.0
MATI_lag_3,0.0
MATI_lag_7,0.0
tcn_feature_37,0.0
JML_DEPLESI_rolling_std_3,0.0
tcn_feature_34,0.0
PAKAN_ACT_GR/EK_momentum_1,0.0
DELTA_PAKAN_GR/EKOR_lag_1,0.0
PAKAN_ACT_GR/EK_acceleration,0.0
PAKAN_ACT_GR/EK_trend_slope_3,0.0
tcn_feature_28,0.0
MATI_rolling_min_7,0.0
SUHU_MAX_acceleration,0.0
